No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,54,81,27,5,17.6,4.5左,7.1左,9i
2,25,63,27,1,8.7,19.2右,9.2右,9i
3,69,76,28,13,29.7,10.7右,16.0右,9i
4,38,60,25,3,17.1,31.0右,22.9右,9i
5,44,52,21,11,41.0,24.9右,19.5右,9i
6,73,79,29,16,32.2,11.5右,21.0右,9i
7,74,87,30,11,24.1,6.8右,15.1右,9i
8,49,57,23,12,38.9,21.8右,19.9右,9i
9,35,68,29,2,11.8,14.6右,11.7右,9i
10,58,67,26,10,29.3,7.7右,10.6右,9i
11,73,79,29,17,34.0,13.9右,25.2右,9i
12,36,75,28,2,12.0,14.9右,10.8右,9i
13,47,62,24,7,26.1,27.5右,27.1右,9i
14,31,64,28,1,7.3,18.1左,9.4左,9i
15,40,46,20,9,37.2,27.3右,20.6右,9i
16,30,40,18,4,27.0,41.6右,20.6右,9i
17,30,47,20,3,17.7,3.3右,1.3右,9i
18,55,62,25,9,28.6,7.7右,11.6右,9i
19,27,43,18,4,25.9,13.3右,4.1右,9i
20,32,38,18,9,45.4,25.5右,13.5右,9i
21,49,76,30,4,15.0,22.7右,24.8右,9i
22,65,76,28,10,25.8,2.8左,2.1左,9i
23,18,64,33,0,4.4,0.5左,0.9左,9i
24,5,19,15,0,6.2,9.8右,1.0右,9i
25,65,71,27,13,30.5,7.0右,9.3右,9i
26,10,46,27,0,3.7,42.0右,6.6右,9i
27,5,33,23,0,2.1,7.5右,0.7右,9i
28,64,77,28,9,23.8,7.1右,12.4右,9i
29,66,83,28,8,22.0,9.0右,9.0右,9i
30,67,78,30,10,24.5,16.3右,29.7右,9i
31,87,104,34,11,20.5,6.0右,16.1右,9i
32,57,78,29,6,18.3,12.5右,19.2右,9i
33,17,28,16,2,21.1,1.3左,0.6右,9i
34,64,91,30,6,17.4,1.8右,1.6右,9i
35,37,68,28,2,9.1,7.0右,5.8右,9i
36,83,98,32,11,21.7,2.3右,7.7右,9i
37,12,56,32,0,2.9,25.3右,5.2右,9i
38,24,52,24,1,11.7,15.1右,7.7右,9i
39,23,53,24,1,10.7,12.2右,6.1右,9i
40,71,89,32,8,18.9,11.0右,22.5右,9i
41,63,78,29,8,22.9,11.9右,20.7右,9i
42,75,89,32,11,23.9,19.5右,37.6右,9i
43,26,45,19,3,21.2,12.7右,7.3右,9i
44,62,84,30,6,16.8,14.0右,21.5右,9i
45,52,93,33,3,11.5,12.1右,13.9右,9i
46,36,71,31,2,11.6,3.1右,5.4右,9i
47,56,91,31,3,11.7,15.4右,16.6右,9i
48,13,58,32,0,3.2,6.0右,1.0右,9i
49,18,31,16,1,16.9,2.9右,0.9右,9i
50,10,50,29,0,3.2,27.9右,4.6右,9i
51,19,52,24,1,8.8,8.4左,3.2左,9i
52,59,87,30,5,15.0,0.2右,3.9右,9i
53,12,20,11,2,29.9,1.7左,1.0左,9i
54,43,78,28,3,12.7,8.7右,7.5右,9i
55,24,56,27,1,9.3,20.8右,9.9右,9i
56,16,99,56,0,1.3,9.3左,3.0左,9i
57,75,93,30,10,22.8,3.1右,9.3右,9i
58,13,37,21,0,6.7,24.2右,5.1右,9i
59,19,42,21,1,11.6,15.1右,5.9右,9i
60,115,178,63,2,1.6,8.5左,30.2左,9i
61,11,40,23,0,5.3,13.8右,2.4右,9i
62,33,83,38,1,4.0,12.6右,8.8右,9i
63,24,72,31,1,6.7,4.0右,2.4右,9i
64,42,51,21,9,35.1,13.4右,12.3右,9i
65,58,77,29,6,18.3,10.1右,16.7右,9i
66,51,84,31,3,12.1,7.9右,11.7右,9i
67,52,59,24,12,36.7,14.6右,16.4右,9i
68,21,50,22,1,12.1,10.7右,4.8右,9i
69,16,52,27,0,5.6,14.5右,3.3右,9i
70,39,72,28,2,13.0,15.0右,13.4右,9i
71,47,85,33,2,9.3,11.4右,13.7右,9i
72,51,78,30,4,14.6,10.9右,15.5右,9i
73,40,66,27,3,15.2,23.2右,19.5右,9i
74,51,69,27,5,19.9,16.5右,20.7右,9i
75,50,78,28,4,16.4,17.4右,19.5右,9i
76,54,62,25,10,31.1,8.8右,13.7右,9i
77,64,73,28,11,27.4,11.7右,21.3右,9i
78,24,45,21,1,13.1,11.9右,6.2右,9i
79,29,47,21,2,17.0,18.7右,11.0右,9i
80,12,42,24,0,5.2,9.3右,1.6右,9i
81,45,70,25,4,17.7,4.9左,4.5左,9i
82,20,51,25,1,8.8,13.5右,3.7右,9i
83,30,45,21,3,20.4,23.3右,14.2右,9i
84,6,27,19,0,3.8,32.8右,3.2右,9i
85,20,61,30,1,6.2,9.2右,2.3右,9i
86,78,95,31,11,22.7,4.7右,10.4右,9i
87,4,9,10,0,10.9,31.9右,2.0右,9i
88,56,87,31,4,14.2,14.7右,19.2右,9i
89,66,78,29,9,23.0,7.3右,14.3右,9i
90,26,70,33,1,5.3,22.2右,11.1右,9i
91,38,56,24,4,20.8,29.4右,22.2右,9i
92,25,61,29,1,8.8,13.9右,4.5右,9i
93,38,76,32,2,11.2,17.7右,15.0右,9i
94,16,30,15,2,21.9,16.1右,3.8右,9i
95,11,50,29,0,3.3,0.5右,0.3右,9i
96,21,46,23,1,11.7,20.6右,8.6右,9i
97,27,49,22,2,12.8,3.8右,1.2右,9i
