No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,43,72,26,4,17.9,9.8右,3.8右,9i
2,12,43,25,0,3.6,2.7右,0.4右,9i
3,70,84,29,11,26.1,4.4右,9.8右,9i
4,99,111,36,17,24.8,5.2左,21.2左,9i
5,79,112,35,7,15.6,9.1左,21.3左,9i
6,98,117,36,13,19.8,3.5左,7.4左,9i
7,44,92,39,1,3.6,3.4左,3.4左,9i
8,72,88,30,10,23.5,13.6右,24.9右,9i
9,76,90,30,12,25.6,1.8右,7.1右,9i
10,83,102,35,9,18.5,9.6右,27.6右,9i
11,75,97,31,9,20.3,6.8右,13.0右,9i
12,19,61,32,0,3.1,0.3右,0.6右,9i
13,64,108,36,3,9.5,2.9右,6.7右,9i
14,44,59,24,7,28.0,28.7右,26.4右,9i
15,84,95,32,14,26.6,9.7右,24.3右,9i
16,55,67,25,10,30.4,14.8右,19.8右,9i
17,67,77,28,13,30.7,8.2右,15.6右,9i
18,60,68,26,15,38.9,23.3右,28.5右,9i
19,11,59,35,0,1.2,2.3右,0.5右,9i
20,16,54,29,0,3.3,0.8右,0.4右,9i
21,77,90,30,12,25.3,3.9右,6.2右,9i
22,22,60,29,1,5.1,14.0右,6.1右,9i
23,86,92,33,16,27.1,5.9右,11.8右,9i
24,27,65,30,1,5.6,0.7左,0.8右,9i
25,50,59,24,9,30.0,23.4右,25.1右,9i
26,90,101,33,16,25.6,0.1左,0.7左,9i
27,52,63,24,10,32.6,8.3右,10.1右,9i
28,54,84,32,4,14.0,12.3右,18.6右,9i
29,79,105,32,8,18.0,0.8左,0.5左,9i
30,80,89,31,15,28.2,4.4右,12.9右,9i
31,42,57,22,6,27.3,1.5右,2.4右,9i
32,15,48,27,0,3.8,2.4右,0.8右,9i
33,64,73,27,14,34.0,10.9右,17.6右,9i
34,11,51,31,0,1.7,6.4右,1.2右,9i
35,13,47,26,0,3.5,5.5右,1.4右,9i
36,27,51,22,2,13.2,8.1左,4.6左,9i
37,22,62,31,0,3.8,4.4右,2.1右,9i
38,58,81,27,7,21.0,2.2右,6.8右,9i
39,80,86,31,15,26.8,2.2右,2.7右,9i
40,74,78,30,15,26.8,2.2右,2.7右,9i
41,83,89,32,21,31.2,12.6右,20.4右,9i
42,87,94,33,15,35.7,13.9右,25.5右,9i
43,54,64,24,11,25.1,1.7右,4.9右,9i
44,74,80,30,21,32.6,8.5右,10.7右,9i
45,58,68,25,11,38.9,19.7右,32.3右,9i
46,61,75,29,9,31.4,5.6右,6.6右,9i
47,61,69,26,14,27.2,28.8右,38.9右,9i
48,9,40,25,0,36.7,19.4右,25.3右,9i
49,50,60,23,10,2.5,13.0左,2.1左,9i
50,82,89,32,17,34.7,10.9右,12.3右,9i
51,82,89,32,17,30.0,7.2右,18.5右,9i
