No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,67,79,28,12,28.8,1.2左,4.6左,9i
2,67,81,28,10,25.9,4.9右,7.7右,9i
3,62,73,26,11,30.0,1.2右,2.4左,9i
4,18,26,13,4,38.6,39.4右,10.5右,9i
5,67,78,28,12,28.3,5.7右,5.8右,9i
6,13,54,30,0,3.9,17.1右,4.3右,9i
7,66,76,27,13,30.8,8.2右,12.7右,9i
8,26,32,16,8,47.3,32.6右,14.6右,9i
9,39,46,20,11,44.1,31.6右,22.6右,9i
10,68,79,28,12,28.7,8.2右,13.0右,9i
11,73,87,29,11,25.1,12.7右,20.6右,9i
12,80,95,31,12,23.8,10.4右,18.1右,9i
13,24,31,15,7,44.4,26.7左,10.7左,9i
14,45,63,23,6,24.3,0.9左,2.2左,9i
15,26,33,16,8,46.0,22.4左,10.2左,9i
16,90,98,33,19,30.0,4.8右,7.8右,9i
17,23,32,15,5,39.9,29.9右,13.5右,9i
18,56,81,28,5,18.3,16.1右,21.2右,9i
19,20,46,21,1,13.0,14.2右,4.2右,9i
20,14,27,15,1,15.6,12.2右,3.3右,9i
21,39,60,24,3,16.7,25.2右,18.8右,9i
22,41,61,22,5,22.5,13.1右,11.0右,9i
23,49,74,26,5,18.9,16.9右,18.5右,9i
24,79,89,31,16,30.0,8.6右,17.3右,9i
25,73,95,31,9,20.7,8.8右,18.3右,9i
26,81,90,31,17,30.7,7.9右,18.1右,9i
27,33,85,36,1,6.2,9.5右,7.0右,9i
28,13,58,33,0,3.0,16.7右,3.3右,9i
29,19,45,23,1,12.5,11.2右,3.4右,9i
30,74,85,30,13,28.3,8.3右,15.9右,9i
31,70,79,28,16,35.1,15.7右,27.1右,9i
32,62,72,26,13,34.0,17.3右,25.3右,9i
33,85,95,32,16,26.9,1.8右,0.5右,9i
34,40,46,20,12,44.9,1.5左,0.8左,9i
35,47,58,22,9,31.8,6.6右,7.4右,9i
36,43,49,21,12,43.6,34.3右,23.6右,9i
37,80,107,34,8,17.9,11.7右,24.8右,9i
38,77,96,31,10,22.0,2.0左,4.6左,9i
39,49,56,23,14,42.3,28.0右,26.2右,9i
40,85,94,32,17,29.7,10.8右,25.1右,9i
41,49,72,27,5,19.8,17.3右,20.0右,9i
42,52,67,24,8,26.7,9.8右,13.0右,9i
43,79,94,31,12,24.5,3.6右,8.8右,9i
44,78,98,31,10,20.4,7.0左,9.9左,9i
45,31,59,25,1,9.8,2.0右,1.9右,9i
46,10,35,21,0,6.5,22.6左,4.3左,9i
47,14,53,28,0,4.7,15.7左,4.3左,9i
48,23,55,26,1,8.0,0.8右,1.6右,9i
49,42,71,29,3,12.2,5.6右,8.3右,9i
50,46,68,24,5,20.7,11.2左,11.7左,9i
51,20,55,25,1,7.9,9.4右,3.7右,9i
52,29,35,18,11,53.5,12.6左,7.1左,9i
53,49,55,23,16,45.4,21.8右,18.7右,9i
54,6,33,23,0,3.0,14.9左,1.6左,9i
55,65,74,27,14,33.0,6.7右,12.1右,9i
56,22,40,18,2,19.0,2.3左,2.2左,9i
57,74,95,33,9,22.1,17.0右,34.9右,9i
58,50,86,31,3,13.2,8.8右,12.1右,9i
59,35,43,19,9,41.5,18.8右,12.9右,9i
60,49,66,25,7,25.4,27.3右,27.8右,9i
61,63,87,29,7,20.2,16.0右,22.7右,9i
62,49,54,24,17,47.1,16.3右,15.7右,9i
63,31,56,24,2,15.6,22.0右,13.7右,9i
64,3,12,12,0,6.1,3.8右,0.2右,9i
65,13,21,22,0,7.0,18.4左,4.6左,9i
66,75,83,30,18,35.4,14.1右,24.9右,9i
67,48,79,30,3,14.5,16.7右,18.9右,9i
68,32,39,19,13,54.3,8.1右,5.5右,9i
69,35,41,20,13,50.8,1.7左,1.3左,9i
70,37,43,20,13,48.6,0.2右,0.5左,9i
71,67,76,27,14,33.4,9.3右,16.1右,9i
72,63,74,27,12,31.6,14.1右,24.3右,9i
73,75,85,30,15,30.0,9.0右,17.0右,9i
74,26,38,17,4,29.9,2.1左,3.1左,9i
75,14,41,20,1,9.0,6.7右,1.3右,9i
76,9,36,23,0,4.8,18.8右,3.2右,9i
77,66,82,28,10,25.0,6.9右,10.1右,9i
