No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
78,11,45,26,0,4.0,4.1右,0.5右,9i
79,71,94,31,7,18.2,8.0右,16.8右,9i
80,18,45,23,1,12.3,18.1左,5.4左,9i
81,10,46,27,0,3.3,12.2右,2.2右,9i
82,70,99,32,6,17.2,9.6右,17.0右,9i
83,95,108,35,15,22.7,9.7右,23.9右,9i
84,6,15,12,0,11.0,30.3左,3.2左,9i
85,69,96,31,6,15.3,11.1右,15.6右,9i
86,82,103,33,9,17.1,2.1右,2.3右,9i
87,60,83,31,6,19.3,20.5右,29.5右,9i
88,86,95,32,17,28.1,2.1右,4.1右,9i
89,85,99,32,13,24.5,3.6右,3.1右,9i
90,14,48,24,0,6.7,2.0右,0.8右,9i
91,35,62,24,3,18.3,0.0,2.6右,9i
92,23,71,35,1,5.1,4.1右,0.4右,9i
93,79,98,31,10,21.7,4.5右,4.6右,9i
94,87,102,33,13,23.5,0.6右,5.7左,9i
95,69,76,28,17,36.0,17.7右,27.6右,9i
96,94,105,35,15,23.4,4.9右,5.9右,9i
97,67,93,31,6,16.6,3.3左,10.7左,9i
98,81,92,31,14,26.6,8.0右,10.6右,9i
99,88,109,34,11,20.1,1.4左,8.1左,9i
100,72,101,32,6,16.5,6.2右,4.9右,9i
101,79,101,33,9,20.4,5.6左,18.0左,9i
102,73,111,34,5,13.3,9.7右,14.0右,9i
103,27,64,30,1,8.6,2.0右,0.9左,9i
104,22,61,30,1,6.6,9.0右,4.7右,9i
105,87,103,33,12,22.5,1.6右,0.4右,9i
106,16,41,22,1,9.3,4.7右,0.6右,9i
107,94,104,34,18,26.6,8.5右,17.1右,9i
108,70,103,34,4,11.2,3.5右,6.7右,9i
109,16,54,26,0,5.8,7.9右,1.8右,9i
110,13,24,13,2,24.5,2.9右,1.1右,9i
111,30,59,23,2,16.0,7.8右,5.6右,9i
112,78,98,33,9,19.1,10.3右,23.9右,9i
113,29,65,29,1,9.9,2.9右,3.7右,9i
114,66,92,29,7,18.4,8.1右,7.5右,9i
115,87,107,34,11,20.9,11.1右,28.4右,9i
116,29,53,21,3,18.7,10.2右,6.7右,9i
117,59,69,26,12,34.3,26.5右,33.5右,9i
118,22,48,21,1,14.3,15.3右,6.7右,9i
119,56,138,59,1,2.5,7.1左,10.1左,9i
120,18,28,15,2,22.3,26.4右,8.0右,9i
121,37,64,27,2,11.4,6.2右,1.9右,9i
122,11,38,22,0,6.2,31.2右,6.1右,9i
123,42,72,28,3,12.4,26.7右,21.7右,9i
124,24,44,20,2,14.3,15.4右,6.5右,9i
125,64,76,27,11,27.6,12.5右,16.6右,9i
126,58,71,26,9,27.3,13.2右,17.6右,9i
127,22,62,30,1,6.5,19.8右,8.5右,9i
128,21,41,21,2,17.0,13.5右,5.4右,9i
129,74,94,31,8,18.2,4.1右,2.4右,9i
130,44,78,30,2,8.9,9.5右,8.6右,9i
131,50,77,26,5,18.7,26.4右,25.2右,9i
132,23,47,23,1,13.0,37.6右,15.3右,9i
133,47,81,28,3,13.7,13.4右,13.3右,9i
134,11,35,21,0,7.1,11.2右,1.9右,9i
135,16,45,24,1,7.6,7.0右,1.3右,9i
136,35,64,26,2,11.2,6.3右,6.2右,9i
137,18,38,20,1,12.8,9.6右,2.1右,9i
138,72,84,29,12,27.1,8.0右,12.8右,9i
139,74,88,30,11,25.0,13.7右,23.1右,9i
140,18,35,18,1,14.7,5.9右,0.9右,9i
141,31,51,20,3,21.2,40.3右,21.0右,9i
142,65,78,28,11,27.6,9.4右,15.8右,9i
143,18,46,23,1,9.1,8.5右,3.5右,9i
144,19,35,17,2,17.8,7.6右,3.0右,9i
145,60,88,30,5,15.3,10.8左,14.4左,9i
146,56,94,33,3,11.1,11.7右,15.5右,9i
147,72,86,29,11,25.7,4.1右,6.2右,9i
148,27,57,25,2,12.3,7.3左,1.6左,9i
149,6,24,18,0,4.7,0.9左,0.0,9i
150,64,75,27,11,29.2,10.3右,17.4右,9i
151,58,89,29,5,16.4,10.8右,13.9右,9i
152,59,89,29,5,16.8,4.3右,7.6右,9i
153,40,46,20,11,44.3,27.1右,19.5右,9i
154,17,50,26,0,6.6,25.5右,7.7右,9i
155,20,43,22,1,14.4,6.3左,2.7左,9i
156,62,77,27,9,25.6,8.2右,11.6右,9i
157,81,93,31,14,26.5,8.2右,14.7右,9i
158,38,54,21,5,26.3,34.9右,24.2右,9i
159,76,91,30,12,25.0,0.7左,1.9左,9i
160,47,76,29,3,13.0,4.0右,1.1左,9i
161,54,75,27,6,22.5,21.5右,26.2右,9i
162,59,91,31,5,15.7,11.0右,17.0右,9i
