No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,77,84,30,20,35.7,6.9右,12.3右,9i
2,63,73,27,12,31.3,2.1左,5.8左,9i
3,111,117,39,27,29.2,3.5左,10.6左,9i
4,90,98,33,18,29.1,1.7右,10.7右,9i
5,85,91,33,19,32.2,5.8右,18.7右,9i
6,31,60,27,2,10.9,23.5右,14.5右,9i
7,112,117,40,30,32.2,0.4左,14.2右,9i
8,85,89,33,26,39.9,9.3右,24.9右,9i
9,32,36,19,13,52.6,15.9左,9.3左,9i
10,72,80,30,14,29.5,6.4右,17.3右,9i
11,87,116,39,7,12.5,0.6左,13.5右,9i
12,16,80,44,0,1.5,5.5右,1.9右,9i
13,29,86,41,1,4.7,1.3右,1.1左,9i
14,71,79,29,18,36.7,12.8右,21.4右,9i
15,60,94,36,4,11.1,5.9右,14.4右,9i
16,85,95,33,14,25.6,3.5左,3.6右,9i
17,70,85,30,10,24.8,7.0右,19.2右,9i
18,83,91,32,19,33.1,4.9右,17.5右,9i
19,33,40,18,9,43.2,6.6右,4.2右,9i
20,57,67,25,12,34.0,7.0右,10.7右,9i
21,51,59,23,13,39.9,12.8右,15.6右,9i
22,95,109,37,12,19.4,1.9右,20.3右,9i
23,111,118,39,22,25.2,7.0左,21.0左,9i
24,27,66,30,1,8.3,5.5左,0.9左,9i
25,24,56,27,1,9.2,0.3左,1.4右,9i
26,108,119,39,17,20.6,9.3左,29.8左,9i
27,135,149,45,20,17.3,3.3左,0.9左,9i
28,8,68,42,0,1.2,13.3右,2.1右,9i
29,111,122,40,17,19.6,0.3左,6.5右,9i
30,91,99,35,15,24.5,7.4右,24.5右,9i
31,64,96,36,4,12.4,18.1右,29.0右,9i
32,103,137,42,6,8.6,3.5左,7.3左,9i
33,83,90,32,17,29.8,10.3右,28.1右,9i
34,39,53,21,6,28.3,35.5右,25.9右,9i
35,61,98,38,3,9.4,7.3右,15.6右,9i
36,29,58,27,2,12.1,6.4右,5.5右,9i
37,89,98,33,17,28.0,3.8左,0.2左,9i
38,84,94,32,16,28.6,0.2右,11.8右,9i
39,84,96,33,15,27.3,2.8右,18.3右,9i
40,26,35,16,6,39.9,23.1右,12.8右,9i
41,23,46,23,1,12.9,1.6左,2.1左,9i
42,11,68,39,0,1.7,9.4右,1.5右,9i
43,2,7,9,0,6.9,47.9左,1.7左,9i
44,27,51,24,2,13.8,1.6左,1.4右,9i
45,76,85,30,17,32.9,4.9右,17.8右,9i
46,31,40,18,7,39.1,10.7右,8.6右,9i
47,31,38,17,8,42.1,29.7右,13.2右,9i
48,41,47,20,12,44.0,26.4右,19.8右,9i
49,55,64,24,11,34.2,5.0右,8.5右,9i
50,82,93,32,14,26.4,3.6左,1.8右,9i
51,29,66,30,1,8.9,1.0左,2.6左,9i
52,15,64,35,0,3.2,2.9左,0.3左,9i
53,88,97,33,17,28.3,1.2右,13.2右,9i
54,101,107,37,19,25.2,3.1左,5.0右,9i
55,44,52,21,11,40.7,22.7右,15.4右,9i
56,79,92,31,13,26.3,1.9左,2.7右,9i
57,74,85,30,13,28.4,0.2右,7.1右,9i
