No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,84,97,32,14,25.1,9.8左,12.5左,9i
2,53,64,24,9,30.9,0.9右,5.5右,9i
3,21,41,20,1,14.8,2.7右,0.3左,9i
4,74,87,31,10,22.8,0.7左,8.3右,9i
5,42,76,31,2,10.4,7.5右,9.5右,9i
6,31,40,17,6,36.9,16.5右,8.0右,9i
7,21,72,36,0,4.5,14.3右,4.3右,9i
8,80,90,31,14,25.6,9.0左,11.2左,9i
9,85,96,32,15,26.0,2.7左,3.5右,9i
10,45,62,23,6,24.8,5.2左,4.7左,9i
11,36,62,26,3,16.0,34.1右,23.2右,9i
12,34,61,24,3,15.9,29.1右,18.8右,9i
13,66,91,31,6,16.5,1.6左,6.0右,9i
14,52,64,24,10,32.0,19.7右,23.6右,9i
15,45,61,25,5,20.7,15.9右,17.2右,9i
16,75,84,30,15,30.7,4.8左,1.8右,9i
17,53,60,24,12,36.2,14.5右,19.9右,9i
18,39,65,24,4,19.1,31.1右,22.6右,9i
19,36,47,19,7,32.4,0.8左,0.7右,9i
20,91,105,34,13,21.2,16.0左,28.3左,9i
21,81,86,32,18,32.7,4.3右,19.6右,9i
22,80,88,32,13,25.6,7.0左,3.3左,9i
23,12,63,36,0,1.4,3.8右,1.0右,9i
24,60,69,26,10,28.8,3.9左,1.6左,9i
25,21,29,15,3,25.1,35.4右,12.3右,9i
26,37,69,29,2,8.5,1.5左,0.3右,9i
27,72,99,35,5,12.7,3.0左,4.4右,9i
28,84,91,32,16,28.3,3.5左,0.6右,9i
29,54,71,29,6,22.2,18.5右,25.6右,9i
30,35,47,20,5,26.1,2.5左,0.9左,9i
31,18,30,16,2,22.1,8.4左,3.6左,9i
32,7,20,15,0,8.0,44.7左,4.8左,9i
33,80,99,32,10,20.7,5.4左,1.3右,9i
34,73,80,30,15,31.5,6.7右,19.1右,9i
35,24,44,21,2,15.6,6.9右,1.2右,9i
36,18,41,19,1,14.4,18.9左,5.3左,9i
37,56,82,30,5,15.7,7.4右,14.2右,9i
38,55,70,27,8,27.0,26.6右,32.6右,9i
39,97,105,35,20,28.3,4.0左,6.1左,9i
40,34,43,18,7,37.0,18.8右,11.4右,9i
41,73,81,29,17,35.4,8.2右,18.9右,9i
42,17,40,21,1,10.3,6.2左,2.6左,9i
43,70,86,30,9,22.5,17.3左,29.2左,9i
44,17,27,15,2,23.5,14.0左,3.2左,9i
45,55,74,28,7,23.9,17.0右,24.0右,9i
46,16,56,29,0,5.0,1.7右,1.1右,9i
47,78,85,31,18,33.7,4.6右,16.4右,9i
48,65,73,27,16,37.6,13.0右,22.4右,9i
49,60,67,26,17,40.8,19.4右,26.0右,9i
50,52,58,24,15,42.4,23.6右,22.2右,9i
51,15,28,15,1,15.9,32.0右,7.9右,9i
52,7,34,22,0,3.5,12.4左,1.7左,9i
53,13,26,15,1,13.8,22.7左,5.6左,9i
54,48,66,25,6,22.3,5.6右,9.1右,9i
55,36,49,20,5,25.1,13.9右,10.3右,9i
56,10,44,26,0,3.9,12.5左,2.0左,9i
57,51,65,24,8,27.8,19.9右,22.6右,9i
58,58,72,28,8,23.3,9.4右,17.5右,9i
59,8,42,26,0,2.9,3.0左,0.3左,9i
60,22,27,19,2,16.9,10.0右,5.1右,9i
61,16,41,21,1,9.7,18.5左,5.9左,9i
62,16,39,21,1,9.9,8.3右,3.0右,9i
63,48,59,23,9,33.5,24.5右,24.4右,9i
64,59,70,26,12,33.2,13.5右,22.4右,9i
65,30,40,17,5,32.6,17.9右,10.6右,9i
66,14,48,26,0,5.4,1.3右,0.8右,9i
67,19,39,20,1,14.1,18.1左,7.1左,9i
68,20,58,29,1,6.3,8.6左,2.0左,9i
69,10,48,28,0,3.1,16.9左,3.0左,9i
70,20,58,29,1,6.4,2.5左,1.9左,9i
71,113,120,39,23,26.3,0.8右,14.1右,9i
72,25,49,24,2,13.0,13.1左,7.2左,9i
73,21,46,21,1,12.7,20.7左,6.4左,7i
74,82,101,34,11,22.0,3.1右,18.6右,7i
75,104,129,38,11,17.1,0.6右,9.4右,7i
76,126,144,42,16,17.8,4.2左,16.5左,7i
77,75,93,34,10,23.7,24.5右,45.5右,7i
78,79,95,31,11,22.8,3.3左,1.5右,7i
79,53,58,25,19,46.9,8.4右,6.8右,7i
80,10,48,28,0,3.3,7.9右,1.2右,7i
81,117,123,41,26,26.6,10.6左,29.1左,7i
82,105,125,40,12,16.5,13.8左,41.7左,7i
83,22,37,17,3,24.1,6.4左,3.6左,7i
84,118,133,41,17,19.9,20.3左,59.4左,7i
