No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
41,38,51,21,6,30.0,39.2右,27.3右,9i
42,20,36,17,2,21.1,13.2左,3.5左,9i
43,7,51,32,0,1.6,7.7左,1.0左,9i
44,91,109,36,11,19.1,18.9左,44.7左,9i
45,63,74,27,11,28.2,1.9右,9.0右,9i
46,5,52,34,0,1.0,5.1左,0.5左,9i
47,81,103,35,9,18.2,18.2左,37.9左,9i
48,32,74,33,1,5.6,10.8右,7.7右,9i
49,5,44,30,0,0.9,10.6右,1.0右,9i
50,59,83,27,6,19.8,8.3左,9.6左,9i
51,20,40,20,1,14.4,5.6右,3.2右,9i
52,4,40,28,0,1.1,5.8左,0.4左,9i
53,12,42,25,0,4.9,9.8左,1.6左,9i
54,22,38,19,2,18.5,6.9左,1.2左,9i
55,83,98,32,13,24.4,0.5右,8.2右,9i
56,24,43,20,2,17.1,0.7左,1.9左,9i
57,22,44,22,1,13.6,0.1右,1.5右,9i
58,62,75,27,10,27.2,3.7左,6.0左,9i
59,50,87,31,4,14.7,13.3右,15.9右,9i
60,14,25,13,2,26.0,13.7左,2.9左,9i
61,46,57,22,9,35.0,19.6右,20.8右,9i
62,20,40,18,2,18.6,9.2左,2.4左,9i
63,19,56,28,1,6.1,2.3右,1.6右,9i
64,60,81,28,6,19.1,7.0左,5.7左,9i
65,57,76,28,6,18.6,9.9左,4.5左,9i
66,20,42,21,1,13.1,13.3左,5.7左,9i
67,16,34,18,1,11.3,1.9左,0.0,9i
68,48,60,23,8,29.7,1.3右,3.7右,9i
69,88,104,34,12,20.2,10.6左,19.8左,9i
70,38,62,24,3,18.2,15.6右,13.7右,9i
71,75,88,31,12,26.1,1.5左,10.0右,9i
72,24,38,26,1,10.6,6.3左,1.1左,9i
73,21,46,23,1,11.8,15.2左,4.4左,9i
74,71,90,30,10,23.5,6.9右,18.2右,9i
75,19,30,15,2,25.5,2.7左,1.9左,9i
76,16,44,23,1,8.0,15.1左,3.5左,9i
77,26,51,24,2,13.2,3.5左,0.4右,9i
78,79,93,31,13,25.5,0.4左,6.7右,9i
79,30,52,21,3,19.2,6.7右,5.6右,9i
80,26,54,25,2,12.7,0.4左,2.2左,9i
81,81,97,32,11,21.6,5.8左,0.3左,9i
82,46,64,24,5,19.7,15.0左,11.0左,9i
83,69,79,28,14,31.4,4.1右,12.6右,9i
84,29,76,35,1,6.5,1.3右,2.6右,9i
85,49,62,23,8,28.4,3.2右,5.1右,9i
86,20,32,17,2,21.8,20.5左,5.7左,9i
87,25,48,23,2,14.9,5.8左,0.7左,9i
88,14,44,24,0,6.3,25.1右,5.4右,9i
89,18,28,15,2,25.3,10.3左,2.2左,9i
90,18,35,17,1,16.9,5.6左,0.8左,9i
91,72,83,30,13,29.8,13.7右,30.3右,7i
92,89,99,34,15,26.3,1.9右,15.6右,7i
93,69,86,30,10,24.2,3.6右,14.3右,7i
94,22,45,21,1,14.0,16.8左,5.0左,7i
95,43,61,23,5,22.0,6.5右,7.0右,7i
96,18,37,18,1,16.3,13.9左,5.2左,7i
97,83,98,32,13,24.2,2.1左,7.3右,7i
98,43,56,22,6,27.4,9.4右,10.2右,7i
99,70,87,30,10,23.9,5.2右,16.3右,7i
100,50,69,25,6,23.0,2.1左,0.8右,7i
101,87,98,33,15,26.5,5.6右,22.6右,7i
102,110,135,39,12,16.2,10.5左,23.7左,7i
103,16,34,18,1,13.8,18.5左,5.8左,7i
104,55,101,40,3,10.3,6.0右,12.9右,7i
