No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,44,63,25,5,20.6,10.6右,12.5右,9i
2,32,57,25,2,15.9,0.7右,3.4右,9i
3,15,44,24,0,7.2,16.8左,4.9左,9i
4,57,69,25,10,29.3,5.9左,5.2左,9i
5,31,60,27,2,12.7,8.9右,7.4右,9i
6,75,90,31,10,21.6,8.9左,11.3左,9i
7,72,84,30,10,23.0,4.4左,0.0,9i
8,72,95,32,8,18.9,18.0左,31.4左,9i
9,80,88,31,14,25.6,5.7左,8.9左,9i
10,61,78,28,9,25.3,9.6左,18.7左,9i
11,30,39,18,4,26.5,36.1右,17.9右,9i
12,78,92,31,12,25.6,0.7右,8.5右,9i
13,44,77,31,2,10.9,15.1右,15.8右,9i
14,14,30,15,1,17.7,17.6左,3.8左,9i
15,64,89,30,6,17.4,3.0右,10.2右,9i
16,65,77,27,11,27.6,2.1左,0.7左,9i
17,42,58,24,6,26.5,31.5右,26.3右,9i
18,44,66,24,5,21.4,17.4右,17.0右,9i
19,32,43,19,6,33.4,24.4右,16.6右,9i
20,71,84,29,11,26.3,11.5左,10.4左,9i
21,56,65,25,13,36.3,6.3右,12.0右,9i
22,79,89,31,16,30.4,0.3左,9.0右,9i
23,21,27,15,3,28.7,3.1左,0.7左,9i
24,45,54,22,8,31.4,3.0右,5.4右,9i
25,44,63,25,5,20.6,10.6右,12.5右,9i
26,40,54,22,5,22.3,10.3左,4.9左,9i
27,91,103,34,14,23.1,10.3左,14.4左,9i
28,82,94,32,14,26.4,2.2左,5.8右,9i
29,17,40,21,1,10.3,3.4右,1.7右,9i
30,23,56,27,1,9.1,1.1右,1.9右,9i
31,21,70,35,0,4.3,13.4左,5.9左,9i
32,19,67,35,0,3.2,4.8左,0.9左,9i
33,21,40,20,1,15.2,4.9左,0.5左,9i
34,20,60,30,1,6.2,13.7右,3.8右,9i
35,87,96,33,19,30.9,4.3右,17.0右,9i
36,18,25,13,4,42.3,19.6右,6.7右,9i
37,75,86,30,14,28.3,0.8左,5.9右,9i
38,23,47,22,2,13.9,10.7左,5.7左,9i
39,98,106,36,20,28.0,4.9左,3.2右,9i
40,74,92,32,9,20.1,3.9右,15.3右,9i
