No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,60,71,27,10,27.5,6.9右,13.4右,9i
2,22,60,26,1,7.1,7.5右,3.2右,9i
3,79,93,31,11,21.9,10.8左,11.8左,9i
4,68,90,29,8,20.8,6.7左,7.7左,9i
5,77,93,31,11,24.2,5.1左,1.7左,9i
6,91,102,34,16,26.2,4.8左,2.5左,9i
7,81,93,32,13,24.9,0.8左,6.8右,9i
8,53,77,27,6,19.7,5.6右,8.6右,9i
9,64,86,31,6,17.3,3.2右,12.9右,9i
10,99,114,36,15,21.6,3.5左,2.2左,9i
11,71,116,38,3,9.3,0.7左,0.4右,9i
12,37,85,37,1,3.3,6.2左,4.5左,9i
13,24,35,16,4,33.1,39.1右,16.9右,9i
14,63,86,32,6,16.3,0.1左,8.7右,9i
15,83,96,32,14,25.5,1.6右,5.4右,9i
16,84,93,33,13,24.4,7.6右,23.1右,9i
17,61,98,37,3,8.9,6.2右,13.6右,9i
18,53,59,25,9,30.1,6.1右,11.1右,9i
19,11,54,32,0,2.4,7.2右,1.7右,9i
20,81,91,31,16,28.7,7.8右,18.2右,9i
21,9,30,19,0,6.5,1.4左,0.0,9i
22,8,26,18,0,6.4,5.2左,0.9左,9i
23,47,80,31,2,10.1,5.5右,8.2右,9i
24,79,97,31,11,22.3,4.7左,11.1左,9i
25,92,106,34,14,23.8,3.5右,12.8右,9i
26,8,12,9,1,34.3,12.9右,1.6右,9i
27,14,50,27,0,5.3,2.2右,1.0右,9i
28,92,101,34,18,27.5,1.0右,6.5右,9i
29,69,80,29,12,27.5,8.0右,16.0右,9i
30,98,122,36,11,17.3,5.4左,9.8左,9i
31,91,99,34,16,25.4,7.9右,20.8右,9i
32,13,39,22,0,7.5,8.8右,1.6右,9i
33,17,34,18,1,15.6,2.5右,0.1左,9i
34,66,84,28,9,23.7,2.4右,3.2右,9i
35,37,60,24,4,21.3,1.6左,2.6右,9i
36,89,101,33,15,25.0,2.2左,0.7右,9i
37,13,32,18,1,11.2,25.6右,5.3右,9i
38,74,96,33,7,15.3,5.1右,13.5右,9i
39,58,96,35,3,8.3,3.9左,0.2右,7i
40,27,67,31,1,7.8,1.9左,0.9右,7i
41,75,88,30,12,26.0,11.9右,24.6右,7i
42,81,98,34,9,19.1,1.8右,14.3右,7i
43,71,82,30,11,24.6,12.0右,23.9右,7i
44,107,121,38,16,20.7,2.4右,17.5右,7i
45,107,118,38,17,22.4,3.1右,19.8右,7i
46,71,89,31,8,19.9,7.4右,16.8右,7i
47,11,25,15,1,12.6,5.3右,1.4右,7i
48,76,117,40,3,7.1,3.6右,10.4右,7i
49,68,95,30,6,17.1,1.2右,2.9右,7i
50,100,117,36,15,21.2,2.3左,3.9左,7i
51,109,127,38,15,19.4,3.1左,7.6左,7i
52,22,72,35,0,4.8,1.4右,1.6右,7i
53,41,77,29,3,14.3,19.5左,16.7左,7i
54,25,59,27,1,9.4,2.4左,0.6右,7i
55,122,137,41,18,19.6,3.0左,7.4右,7i
