No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,66,84,30,7,18.0,6.4右,10.9右,9i
2,73,85,30,11,23.5,2.3右,0.3左,9i
3,16,27,15,1,20.0,4.5右,2.0右,9i
4,45,53,23,7,27.8,18.8右,18.3右,9i
5,40,56,24,5,21.8,26.1右,22.1右,9i
6,80,94,32,11,22.2,2.9左,9.0左,9i
7,31,50,22,3,18.4,24.8右,15.5右,9i
8,10,56,35,0,1.1,10.4右,1.8右,9i
9,68,79,29,10,25.3,10.2右,17.3右,9i
10,23,52,25,1,11.0,3.6右,3.0右,9i
11,49,76,29,3,13.0,11.3右,13.7右,9i
12,59,66,26,14,36.3,21.9右,27.4右,9i
13,33,76,34,1,4.2,6.2左,3.9左,9i
14,58,85,32,4,14.7,14.6右,22.6右,9i
15,73,81,30,12,26.5,8.6右,18.2右,9i
16,72,78,29,15,32.3,12.0右,21.2右,9i
17,55,65,25,11,33.5,20.4右,23.3右,9i
18,53,61,24,9,29.6,10.4右,13.9右,9i
19,26,58,25,1,12.0,8.5右,5.3右,9i
20,122,159,54,6,7.5,16.6左,61.6左,9i
21,58,68,26,9,26.0,7.3右,11.2右,9i
22,57,66,25,11,31.4,15.0右,20.0右,9i
23,67,84,30,8,19.9,9.4右,19.4右,9i
24,21,44,22,1,12.5,17.6左,7.6左,9i
25,25,44,21,2,17.5,17.5左,9.5左,9i
26,70,79,29,11,25.8,0.2左,3.9右,9i
27,17,43,22,1,9.3,12.9左,4.5左,9i
28,75,84,30,12,25.6,0.1左,2.7右,9i
29,89,96,33,17,26.6,1.0右,1.5右,9i
30,72,92,31,8,19.8,6.8左,15.8左,9i
31,11,19,12,1,26.2,7.3左,1.0左,9i
32,79,97,33,8,17.7,13.8右,27.9右,9i
33,72,80,29,15,31.2,7.8右,12.4右,9i
34,59,66,26,13,35.0,21.3右,26.8右,9i
35,52,70,27,6,20.8,21.7右,25.1右,9i
36,90,96,34,20,29.9,5.0右,14.8右,9i
37,53,76,30,5,16.8,28.0右,31.5右,9i
38,29,75,35,1,4.2,10.5右,6.5右,9i
39,61,86,28,6,18.9,2.2右,4.7右,9i
40,47,61,24,7,26.3,27.5右,27.2右,9i
41,17,52,27,0,6.2,4.2左,1.9左,9i
42,25,42,20,2,18.7,17.7左,9.3左,9i
43,18,41,19,1,13.7,13.7右,4.7右,9i
44,27,37,17,3,25.7,14.4左,6.6左,9i
45,76,89,32,10,22.0,16.9右,34.1右,9i
46,62,74,28,9,26.1,18.8右,27.7右,9i
47,39,65,26,3,18.3,13.5左,13.1左,9i
48,57,93,31,4,13.2,10.7右,11.7右,9i
49,2,18,17,0,1.5,4.2右,0.1右,9i
50,49,68,27,5,21.2,25.0右,26.4右,9i
51,62,87,32,5,14.4,12.7右,20.8右,9i
52,54,60,24,13,37.6,19.4右,22.3右,9i
53,15,43,23,1,7.6,2.8右,0.2右,9i
54,21,59,29,1,6.9,9.5右,2.4右,9i
55,33,62,27,2,14.0,32.3右,20.5右,9i
56,11,44,25,0,4.5,5.9左,1.4左,9i
57,65,73,27,13,32.5,16.7右,25.1右,9i
58,77,87,31,12,23.9,2.0左,3.0左,9i
59,75,86,31,11,22.5,3.5左,0.7左,9i
60,53,91,35,2,7.9,12.3右,15.5右,9i
61,79,107,36,5,11.5,3.1右,7.1右,9i
62,12,23,14,1,15.5,1.6左,0.1右,9i
63,29,52,24,2,15.3,30.7右,17.2右,9i
64,47,79,30,3,10.8,2.7右,5.8右,9i
65,36,50,20,5,27.1,33.2右,22.2右,9i
66,26,46,20,2,18.6,13.8右,7.9右,9i
67,23,29,15,3,29.3,49.2右,17.3右,9i
68,56,76,28,6,18.1,13.1右,17.3右,9i
69,70,88,30,8,18.8,5.9右,8.7右,9i
70,176,198,58,20,13.2,12.2左,86.0左,9i
71,72,80,29,12,26.2,3.2右,6.6右,9i
72,65,70,28,13,32.0,11.6右,21.2右,9i
73,67,80,28,11,27.7,14.6右,24.0右,9i
74,79,96,33,9,17.7,0.5右,6.7右,9i
75,76,90,31,10,20.6,4.7右,8.9右,9i
76,78,89,31,12,24.0,4.7右,8.9右,9i
77,24,38,18,2,19.2,14.3右,6.2右,9i
78,38,75,31,1,7.7,5.5右,1.2右,9i
79,74,88,31,10,21.9,3.7左,8.6左,9i
80,5,31,22,0,2.6,21.9右,1.9右,9i
81,85,111,37,6,11.9,1.5右,7.0右,9i
82,49,67,27,5,18.8,21.5右,23.3右,9i
83,82,101,35,8,16.7,8.3右,22.9右,9i
84,89,98,34,15,23.7,5.8左,7.1左,9i
85,87,102,33,13,23.0,2.0左,10.5左,9i
86,7,41,27,0,2.4,2.9右,0.3右,9i
87,12,45,25,0,4.9,3.7左,1.1左,9i
88,98,105,36,17,24.2,2.0左,8.8左,9i
89,78,86,31,13,26.1,6.2右,14.2右,9i
90,74,94,33,8,17.3,10.4右,22.2右,9i
91,17,56,29,0,5.7,8.0右,3.1右,9i
92,76,102,36,6,14.4,8.0右,23.3右,9i
