No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,34,44,19,6,33.1,22.9右,13.2右,9i
2,72,82,29,14,29.5,7.9右,12.7右,9i
3,28,52,22,2,16.3,23.6右,12.9右,9i
4,81,89,31,18,32.0,2.2右,1.3右,9i
5,55,67,25,9,28.4,13.5右,17.4右,9i
6,63,72,27,11,29.2,2.7右,5.0右,9i
7,53,64,24,9,29.0,12.0右,11.9右,9i
8,83,92,31,17,29.4,5.3右,11.6右,9i
9,68,79,28,13,30.5,7.4右,12.9右,9i
10,53,86,32,3,10.4,3.9右,7.7右,9i
11,69,80,29,11,26.2,3.2右,10.1右,9i
12,6,42,28,0,2.0,13.8右,1.4右,9i
13,46,55,22,10,36.6,20.0右,16.8右,9i
14,22,38,17,2,20.0,1.4右,1.6右,9i
15,9,21,14,1,12.2,7.1左,1.2左,9i
16,28,59,25,2,12.6,19.3右,10.5右,9i
17,26,54,22,2,15.1,17.7右,9.1右,9i
18,43,51,21,10,38.9,32.4右,25.2右,9i
19,57,65,25,13,37.1,18.0右,21.2右,9i
20,47,55,22,11,39.2,22.7右,20.4右,9i
21,51,73,28,4,16.3,14.4右,18.3右,9i
22,49,58,23,11,35.9,28.3右,25.0右,9i
23,51,60,23,12,37.4,8.9左,8.7左,9i
24,27,55,25,1,9.7,27.5右,13.6右,9i
25,63,70,27,13,32.7,6.5右,13.8右,9i
26,63,69,27,12,31.2,5.0右,11.5右,9i
27,41,49,21,10,39.6,16.3右,13.2右,9i
28,32,59,24,2,16.0,11.5右,8.7右,9i
29,71,81,29,15,31.7,5.9右,8.5右,9i
30,21,29,15,4,33.0,42.3右,14.5右,9i
31,43,54,21,8,31.7,19.4右,15.4右,9i
32,71,83,29,11,25.9,5.5右,13.7右,9i
33,43,73,28,2,10.5,1.7左,0.9右,9i
34,86,94,32,19,31.2,1.6右,7.4右,9i
35,37,44,19,9,41.1,24.2右,17.7右,9i
36,7,57,34,0,1.5,17.3右,2.3右,9i
37,32,60,27,2,12.8,25.4右,16.2右,9i
38,15,25,13,2,29.1,5.6右,0.7右,9i
39,12,69,39,0,2.0,15.4右,3.5右,9i
40,58,68,26,11,32.1,13.1右,19.8右,9i
41,72,81,29,15,31.0,4.1右,9.0右,9i
42,53,62,24,10,33.4,13.2右,18.3右,9i
43,73,80,29,16,32.1,6.2右,14.5右,9i
44,66,72,28,15,34.7,11.2右,20.1右,9i
45,62,68,27,14,36.9,10.2右,21.3右,9i
46,18,62,32,0,4.3,1.2右,1.1右,9i
47,73,78,29,17,33.6,4.4右,13.0右,9i
48,20,45,20,1,13.9,4.8右,1.0右,9i
49,16,26,13,2,29.3,0.9右,0.6左,9i
50,62,72,27,10,26.4,0.6右,2.3左,9i
51,82,87,32,20,33.4,8.1右,15.5右,9i
52,67,73,28,13,30.4,3.7右,4.8右,9i
53,66,84,30,8,20.1,4.3右,12.4右,9i
54,82,101,33,11,22.1,6.3右,19.3右,9i
55,67,72,28,21,42.7,20.5右,29.2右,9i
56,83,91,32,17,30.3,0.3左,5.3左,9i
