No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
57,27,37,17,5,33.2,22.1右,12.2右,9i
58,28,41,19,4,24.9,36.7右,18.6右,9i
59,24,34,17,3,25.7,30.1右,13.4右,9i
60,3,32,25,0,1.0,27.6右,1.4右,9i
61,75,81,30,16,30.8,8.1右,16.4右,9i
62,52,62,24,8,27.9,8.9右,10.5右,9i
63,64,75,28,10,25.0,3.1右,5.6右,9i
64,37,47,21,5,25.2,25.9右,19.2右,9i
65,43,77,32,2,11.3,18.5右,18.3右,9i
66,28,49,22,2,14.7,39.9右,19.4右,9i
67,48,51,23,15,44.5,21.2右,20.6右,9i
68,51,57,24,15,43.7,19.7右,20.9右,9i
69,59,79,29,6,17.9,12.1右,19.3右,9i
70,59,67,26,12,33.6,14.2右,19.5右,9i
71,46,53,22,12,40.4,21.1右,17.6右,9i
72,42,51,21,10,38.1,19.7右,16.0右,9i
73,69,79,28,13,30.3,7.4右,15.9右,9i
74,16,25,14,2,26.1,36.1右,9.9右,9i
75,-,-,-,-,-,-,-,9i
76,17,55,28,0,5.7,4.5右,0.6右,9i
77,52,65,24,8,26.2,2.8右,2.7右,9i
78,26,40,18,4,27.7,4.0左,0.2右,9i
79,12,57,32,0,3.0,0.6右,0.2左,9i
80,65,102,35,3,8.9,0.2右,0.2右,9i
81,9,47,28,0,2.9,28.7右,4.4右,9i
82,60,64,26,14,35.8,7.9右,12.3右,9i
83,58,66,25,10,30.0,5.0右,9.2右,9i
84,27,37,17,5,33.1,34.9右,17.1右,9i
85,19,36,18,2,18.0,1.0右,1.4右,9i
86,54,66,24,9,29.6,16.1右,19.6右,9i
87,56,67,25,10,29.5,5.7右,6.2右,9i
88,19,25,14,6,51.0,36.4右,11.8右,9i
89,54,60,24,16,42.5,20.5右,22.0右,9i
90,39,47,20,9,38.4,24.1右,16.2右,9i
91,56,84,30,4,14.7,6.9右,12.0右,9i
92,3,36,27,0,1.1,28.6右,1.7右,9i
93,61,73,27,11,29.2,22.2右,28.3右,9i
94,68,92,30,7,19.7,5.3左,11.6左,9i
95,54,68,25,8,24.5,0.6左,1.6右,9i
96,60,81,28,7,22.2,9.1左,17.4左,9i
97,9,11,9,2,45.7,19.2右,2.9右,9i
98,67,88,29,8,20.4,3.6左,5.9左,9i
99,38,45,20,12,45.5,21.8右,15.1右,9i
100,60,83,29,6,17.1,8.7左,13.5左,9i
101,58,68,26,10,28.8,3.1右,6.6右,9i
102,53,64,24,10,32.3,11.1右,14.6右,9i
103,75,83,29,15,31.2,7.3右,9.3右,9i
104,48,76,30,3,13.4,16.2右,18.8右,9i
105,59,65,26,17,41.7,20.3右,25.2右,9i
106,71,85,31,9,22.2,12.3右,24.4右,9i
107,52,72,27,6,20.8,27.0右,29.0右,9i
108,34,40,19,6,33.9,16.2右,10.6右,9i
109,42,51,21,10,37.7,17.4右,14.3右,9i
110,22,30,14,5,40.1,15.9右,6.9右,9i
111,37,49,20,6,29.8,24.7右,18.2右,9i
112,76,85,30,16,31.8,7.3右,13.7右,9i
113,66,74,27,14,33.2,7.1右,13.5右,9i
114,44,54,21,9,35.0,13.9右,12.4右,9i
115,80,88,31,18,32.2,7.1右,16.2右,9i
116,90,98,33,19,29.7,4.6右,13.5右,9i
117,53,63,24,11,34.3,13.8右,14.8右,9i
118,74,87,30,12,26.1,4.5右,12.9右,9i
119,14,64,35,0,2.9,18.3右,4.0右,9i
120,67,74,28,15,35.2,13.4右,22.6右,9i
121,78,84,31,22,38.3,15.2右,27.9右,9i
122,51,58,23,13,39.9,16.4右,16.9右,9i
123,67,72,28,15,34.5,13.3右,21.8右,9i
124,88,92,34,26,37.3,15.5右,31.8右,9i
125,76,79,32,28,44.9,19.1右,30.0右,9i
126,47,57,22,10,35.0,28.7右,24.5右,9i
127,67,82,30,9,22.8,17.0右,30.2右,9i
128,11,16,10,2,38.8,40.5左,6.9左,9i
129,67,73,28,15,32.9,5.8右,9.2右,9i
130,45,51,22,10,37.0,15.6右,15.1右,9i
131,48,54,23,14,43.7,19.8右,17.4右,9i
132,51,76,28,4,14.5,6.7右,10.1右,9i
133,64,73,27,12,30.1,0.8右,3.3右,9i
134,71,80,29,16,33.2,6.5右,12.3右,9i
135,29,33,17,7,38.1,19.7右,9.3右,9i
136,74,81,29,16,31.8,0.6左,4.0左,9i
137,45,52,22,10,35.9,8.4右,8.3右,9i
138,73,78,29,17,34.0,11.6右,22.3右,9i
139,84,91,32,16,27.2,6.3左,14.8左,9i
140,83,87,32,17,29.2,2.1左,0.5左,9i
141,70,77,29,13,28.2,0.3右,6.2右,9i
142,51,57,23,12,36.9,6.7右,9.8右,9i
143,62,68,27,19,42.9,21.1右,27.4右,9i
144,26,31,17,10,51.8,15.3右,6.7右,9i
145,80,85,31,16,29.6,0.6右,8.0右,9i
146,74,78,30,17,33.4,0.6右,8.0右,9i
147,63,69,27,17,39.3,15.0右,21.1右,9i
148,41,47,21,9,36.1,7.1右,7.3右,9i
149,35,40,19,9,40.4,7.5右,6.5右,9i
150,55,60,25,11,31.7,6.0右,9.7右,9i
151,48,52,23,11,37.1,6.4左,5.4左,9i
152,91,93,34,22,32.8,3.0右,14.0右,9i
153,46,50,23,15,46.9,6.3左,6.9左,9i
154,68,75,28,12,28.4,7.3右,12.5右,9i
155,40,44,21,14,48.0,2.0左,2.4左,9i
