No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds)
1,54,90,33,2,8.3,4.1右,6.0右
2,7,43,27,0,2.5,2.2左,0.4左
3,18,63,32,0,4.5,19.5右,6.7右
4,56,71,27,7,22.0,21.0右,26.8右
5,86,101,32,13,24.1,0.9右,4.6右
6,19,77,40,0,3.1,2.9左,0.2左
7,25,79,38,1,4.6,0.5右,1.1左
8,9,48,29,0,2.6,17.1左,2.8左
9,53,60,24,13,38.5,5.8左,7.0左
10,64,87,30,7,18.7,10.1左,17.9左
11,93,101,35,16,24.5,6.5右,16.5右
12,42,51,21,8,32.6,4.0右,3.3右
13,94,105,34,17,25.4,0.5右,2.1左
14,49,57,23,8,27.2,2.1左,0.4左
15,63,76,27,10,27.4,8.2左,10.5左
16,86,95,33,16,27.5,9.5左,21.4左
17,78,101,33,9,20.3,12.0右,27.4右
18,79,87,31,13,25.4,7.0右,15.1右
19,49,57,23,10,33.2,1.5左,1.3左
20,105,111,37,23,28.2,5.2右,12.6右
21,84,97,33,13,24.0,10.1右,22.9右
22,116,123,40,25,26.2,0.2左,1.7左
23,104,118,37,17,22.9,2.6右,2.4右
24,8,47,29,0,2.6,11.7右,1.5右
25,43,86,35,2,10.8,11.9右,13.3右
26,104,112,37,22,27.2,3.8右,9.2右
27,113,119,39,26,28.1,3.4右,5.7右
28,86,99,36,11,21.2,18.4右,44.2右
29,83,97,33,12,23.9,12.0右,30.9右
30,94,107,36,13,20.2,6.0右,20.9右
31,63,74,27,11,28.1,0.6右,0.5右
32,18,37,19,1,11.5,10.3左,3.4左
33,86,96,32,16,27.1,0.8左,2.1左
34,44,50,22,14,46.3,23.3左,18.3左
35,84,88,33,19,31.1,12.3右,25.7右
36,25,75,36,0,3.4,10.5右,5.6右
37,27,49,22,2,16.6,4.2右,3.8右
38,41,50,21,6,27.0,0.8左,0.4右
39,67,73,28,16,35.5,0.4右,3.4右
40,13,39,22,0,7.2,13.7左,3.5左
41,72,76,30,15,31.7,11.1右,25.0右
42,24,42,20,2,16.5,16.1左,8.1左
43,75,86,33,10,23.3,16.6右,35.8右
44,67,83,30,9,24.4,25.5右,38.9右
45,73,81,29,17,35.5,21.9右,39.5右
46,4,41,29,0,1.2,3.4左,0.3左
47,95,108,35,14,21.8,2.7右,14.8右
48,101,121,38,11,16.5,5.4左,2.7左
49,11,54,31,0,2.9,2.1左,0.6左
50,56,64,25,14,39.0,23.0右,27.1右
51,10,56,33,0,2.3,1.6右,0.5右
52,25,43,21,2,17.8,4.5左,3.9左
53,96,106,35,18,26.6,8.0左,21.7左
54,23,65,31,1,5.6,4.6右,3.1右
55,57,65,25,13,36.3,9.5右,12.6右
56,72,83,30,13,28.8,13.5右,27.2右
57,75,87,31,13,28.6,18.1右,37.2右
58,28,46,20,3,22.5,8.1左,6.3左
59,27,44,19,3,23.9,7.3左,5.6左
60,43,97,38,1,5.3,7.1左,4.0左
61,68,88,31,8,20.4,26.0右,38.8右
62,45,54,22,10,36.5,30.5右,24.3右
63,104,110,37,23,28.2,2.0右,9.7右
64,44,84,34,2,7.4,16.7右,16.0右
65,65,80,30,8,21.3,13.6右,24.4右
66,54,95,36,2,6.3,4.2右,6.4右
67,79,88,32,13,25.1,0.6右,8.0右
68,98,105,36,17,24.4,2.7右,15.5右
69,17,54,28,0,5.7,9.4左,2.1左
70,20,58,29,0,3.9,5.5右,1.9右
71,99,110,36,18,25.6,7.8左,27.6左
72,28,31,17,10,49.9,2.6左,1.1左
73,62,70,26,12,30.8,8.5左,10.9左
74,15,37,20,1,10.6,0.3左,0.6右
75,90,99,34,16,25.6,2.8右,11.3右
76,53,73,28,5,18.3,18.6右,22.4右
77,79,89,31,13,25.4,4.5右,12.8右
78,60,60,35,4,12.2,4.3右,13.4右
79,109,119,38,20,24.3,8.0左,23.1左
80,99,111,36,17,24.4,3.4右,15.5右
81,91,103,34,15,23.6,0.3右,3.0右
82,67,104,38,4,9.6,12.1右,22.8右
83,78,89,32,11,22.6,1.7右,7.4右
84,95,105,35,16,23.6,2.2右,11.7右
85,82,90,32,14,25.0,8.2右,19.3右
86,87,100,34,12,20.3,5.5左,4.4左
87,44,96,40,1,5.1,2.7左,1.5右
88,112,122,40,18,21.4,6.4左,26.7左
89,87,96,33,15,26.2,0.8右,12.5右
90,111,118,39,21,24.6,3.4左,12.6左
