No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,97,106,35,19,27.1,5.2左,10.0左,9i
2,30,82,37,1,6.1,2.6右,3.4右,9i
3,109,123,40,15,19.2,5.8左,5.0右,9i
4,76,85,30,17,32.9,4.3右,14.3右,9i
5,79,92,31,12,24.6,6.2左,4.8左,9i
6,52,68,25,8,26.6,28.8右,30.9右,9i
7,77,95,31,9,20.1,10.8左,17.8左,9i
8,8,36,23,0,4.0,34.3右,4.5右,9i
9,107,116,38,20,25.3,16.2左,40.9左,9i
10,102,106,37,20,25.9,8.8左,7.8左,9i
11,65,69,28,14,33.6,1.8右,9.9右,9i
12,80,88,31,16,30.0,4.8左,2.0左,9i
13,52,96,38,2,6.6,8.5左,2.9左,9i
14,101,107,36,22,28.5,8.0左,11.2左,9i
15,106,112,38,25,29.0,6.9左,6.0左,9i
16,56,79,31,5,17.0,14.6右,22.1右,9i
17,109,126,39,14,18.4,17.7左,44.1左,9i
18,86,100,33,13,22.9,4.9左,6.8左,9i
19,97,107,37,15,22.1,0.5左,12.4右,9i
20,111,117,40,21,23.7,4.6左,0.9右,9i
21,98,122,40,8,12.9,7.4左,2.9右,9i
22,120,126,42,24,23.5,8.5左,12.5左,9i
23,88,97,33,17,28.5,1.6左,5.5右,9i
24,113,134,41,12,14.3,14.7左,26.3左,9i
25,78,88,31,13,25.5,2.3左,2.1右,9i
26,120,127,42,21,21.9,2.5左,15.2右,7i
27,97,124,37,10,16.2,2.2左,1.6左,7i
28,107,120,38,15,19.9,0.1右,11.1右,7i
29,79,100,35,8,17.0,1.5左,12.0右,7i
30,118,136,41,16,18.8,4.3左,2.9右,7i
31,103,116,38,16,21.7,0.8左,12.9右,7i
32,125,137,43,19,18.7,2.0左,8.8右,7i
33,24,68,32,1,6.2,2.3左,0.4右,7i
34,115,121,41,21,23.8,7.7右,38.3右,7i
35,80,111,34,7,15.4,5.1左,4.0左,7i
36,33,59,25,2,15.5,11.1左,9.5左,7i
37,19,79,41,0,2.2,6.4右,2.8右,7i
38,96,123,37,9,16.2,1.4右,3.3左,7i
39,101,129,39,8,12.9,9.9左,19.7左,7i
40,90,101,35,13,22.4,4.5右,23.0右,7i
41,61,112,42,2,5.0,1.4左,3.4右,7i
42,127,144,48,15,15.6,14.6左,64.9左,7i
43,73,111,34,5,12.8,0.9右,1.5右,7i
44,125,130,43,24,22.1,1.0左,4.6右,7i
45,59,112,41,2,5.3,7.0左,4.3左,7i
46,110,117,40,20,23.7,10.0右,40.5右,7i
47,118,131,41,18,19.5,1.9右,6.8右,7i
48,98,115,36,12,18.7,0.4左,5.3右,7i
49,31,67,29,2,10.2,11.7左,8.7左,7i
50,77,102,32,7,16.7,0.3左,1.8右,7i
51,112,121,40,18,21.1,4.8右,23.3右,7i
52,39,85,35,1,6.2,5.6右,6.6右,7i
53,71,113,36,4,11.7,7.2左,11.8左,7i
54,129,138,44,21,19.0,6.2左,26.7左,7i
55,125,137,43,17,17.1,1.1左,13.8右,7i
56,16,78,42,0,2.2,4.4左,0.8左,7i
