No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,48,59,24,7,25.6,18.7右,19.8右,9i
2,51,65,25,6,22.1,5.8左,2.1左,9i
3,37,52,20,5,27.1,30.3右,20.4右,9i
4,24,30,16,4,31.3,25.8右,11.2右,9i
5,6,26,19,0,4.7,23.5右,2.6右,9i
6,9,17,10,1,29.4,16.1左,2.3左,9i
7,51,71,27,5,18.7,16.6右,19.5右,9i
8,42,50,22,6,27.7,15.7右,12.4右,9i
9,32,40,18,6,33.7,13.9右,8.6右,9i
10,21,29,14,5,40.4,13.0右,6.1右,9i
11,50,64,24,7,24.9,0.6左,1.8右,9i
12,34,50,20,5,26.3,1.2右,2.7右,9i
13,57,69,25,9,27.9,1.2右,4.8右,9i
14,52,64,24,9,28.9,6.8右,9.8右,9i
15,18,24,13,5,48.7,23.5右,7.9右,9i
16,13,18,12,2,29.2,34.0右,7.5右,9i
17,76,94,30,10,22.7,8.6左,12.5左,9i
18,39,48,20,8,36.7,12.1右,10.8右,9i
19,33,41,19,6,32.1,14.4右,8.9右,9i
20,56,65,25,12,34.5,8.2右,13.4右,9i
21,10,48,28,0,3.4,16.2右,2.7右,9i
22,24,32,15,5,39.1,19.5右,9.2右,9i
23,17,26,14,2,21.8,16.3右,5.0右,9i
24,37,46,20,5,26.5,8.7右,6.4右,9i
25,48,56,23,9,30.7,5.1右,8.5右,9i
26,42,50,21,9,36.3,2.4左,2.4左,9i
27,42,50,21,11,40.7,20.5右,16.1右,9i
28,49,56,23,14,41.9,6.7左,6.5左,9i
29,42,49,21,7,30.5,9.9右,9.5右,9i
30,35,45,19,5,28.7,5.2右,3.7右,9i
31,60,70,26,11,29.0,6.7左,7.0左,9i
32,19,28,15,2,23.4,32.0右,10.0右,9i
33,37,45,20,7,32.5,9.6右,8.2右,9i
34,61,86,33,5,15.5,18.9右,28.7右,9i
35,43,53,21,8,33.5,18.3右,13.4右,9i
36,51,59,23,12,38.8,20.2右,21.2右,9i
37,26,36,17,4,27.7,30.2右,14.1右,9i
38,32,40,18,8,40.6,23.5右,13.5右,9i
39,58,69,25,11,30.3,9.3右,13.6右,9i
40,49,64,25,6,22.4,18.6右,21.1右,9i
41,86,95,32,18,30.0,0.9右,7.8右,9i
42,6,54,35,0,1.2,18.4右,2.0右,9i
43,44,54,22,7,27.4,2.2右,3.6右,9i
44,24,31,16,4,30.8,10.5右,5.3右,9i
45,49,70,25,6,22.0,21.2右,21.8右,9i
46,19,40,21,1,12.5,1.8左,0.4右,9i
47,32,63,28,2,12.3,1.9右,4.0右,9i
48,80,94,31,13,25.1,0.6左,0.5左,9i
49,80,92,31,14,26.1,3.3右,11.2右,9i
50,46,55,22,10,37.2,10.7右,11.0右,9i
51,47,53,22,12,39.9,3.5左,1.9左,9i
52,65,74,27,13,30.9,4.6左,3.1左,9i
53,47,57,22,9,34.0,15.7右,14.8右,9i
54,30,38,17,6,37.1,12.3右,7.5右,9i
55,45,54,22,9,34.8,6.6右,7.8右,9i
56,49,59,23,9,31.9,7.6右,10.4右,9i
57,69,76,28,15,33.2,2.8右,6.9右,9i
58,71,82,29,13,29.3,6.3右,17.5右,9i
59,27,33,16,8,46.9,27.7右,13.6右,9i
60,52,59,24,14,41.2,18.8右,20.0右,9i
61,38,46,20,10,43.0,0.2右,3.6右,9i
62,53,60,24,14,40.0,11.2右,14.4右,9i
63,38,47,20,7,31.1,10.4右,8.8右,9i
64,55,80,30,4,14.0,11.5右,16.3右,9i
65,50,62,23,9,30.0,10.1右,10.9右,9i
66,70,82,29,12,27.8,10.0右,18.1右,9i
67,44,54,21,10,36.5,7.0左,3.6左,9i
68,52,63,24,10,31.2,11.0右,13.2右,9i
69,27,31,16,6,37.4,27.1右,13.4右,9i
70,93,103,34,17,25.9,4.9右,11.4右,9i
71,98,109,35,18,25.4,0.0,0.7右,9i
72,71,79,29,17,36.0,16.1右,27.0右,9i
73,78,85,31,16,31.4,12.9右,26.1右,9i
74,51,63,24,9,30.1,11.1右,12.2右,9i
75,70,83,29,12,26.7,2.5左,2.3左,9i
76,60,71,26,11,30.0,7.1右,10.1右,9i
77,70,79,28,16,34.0,9.5右,15.4右,9i
78,30,39,17,6,35.1,16.2右,8.7右,9i
79,33,41,18,7,36.5,19.8右,11.3右,9i
80,36,48,21,6,31.9,34.7右,23.8右,9i
81,65,75,27,12,29.6,6.2右,9.8右,9i
82,35,45,19,7,34.6,6.7右,5.0右,9i
83,47,59,23,8,29.5,24.2右,22.9右,9i
