No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,14,16,24,0,4.8,0.1右,0.3右,9i
2,15,35,18,1,11.7,15.9右,3.4右,9i
3,73,91,32,8,19.2,0.7左,9.1右,9i
4,11,42,24,0,3.9,13.0右,2.8右,9i
5,76,93,31,10,21.7,8.0左,11.2左,9i
6,85,103,33,11,21.6,11.2左,18.6左,9i
7,16,45,24,0,6.7,4.0右,1.7右,9i
8,78,89,33,11,23.4,4.0右,19.3右,9i
9,70,83,29,10,24.3,0.9左,4.9右,9i
10,45,95,35,2,7.2,12.2左,8.5左,9i
11,38,72,31,2,12.2,8.6右,1.8右,9i
12,70,82,29,11,26.1,0.6左,7.0右,9i
13,16,50,26,0,6.3,7.4右,2.7右,9i
14,45,93,35,1,6.7,10.8左,8.1左,9i
15,77,100,34,7,16.2,0.5右,10.7右,9i
16,21,34,17,2,22.2,14.9左,6.5左,9i
17,82,92,33,13,25.1,1.8右,17.7右,9i
18,35,70,30,1,7.5,7.4右,6.2右,9i
19,43,76,31,2,11.6,9.0右,11.3右,9i
20,50,58,23,10,34.3,20.4右,22.3右,9i
21,76,93,31,10,22.4,8.2左,5.8左,9i
22,69,93,34,6,15.5,2.2右,13.2右,9i
23,82,115,36,6,12.8,6.9左,4.8左,9i
24,76,97,34,7,16.7,0.9左,11.2右,9i
25,17,41,21,1,10.4,6.2左,2.7左,9i
26,66,88,32,6,16.7,5.8右,16.7右,9i
27,20,54,26,1,8.0,3.6右,2.3右,9i
28,60,76,28,7,22.3,9.3右,18.3右,9i
29,81,91,31,15,28.2,2.9左,4.8右,9i
30,77,85,30,17,33.3,3.7右,14.1右,9i
31,23,63,27,1,8.3,6.8左,1.9左,9i
32,88,97,33,18,29.0,0.0,11.7右,9i
33,19,40,18,1,15.9,1.1左,0.3右,9i
34,72,84,31,10,23.3,5.6右,18.2右,9i
35,32,69,27,2,12.6,8.6左,3.4左,9i
36,10,59,34,0,2.2,3.1右,0.8右,9i
37,61,83,30,7,20.1,11.1右,21.2右,7i
38,73,101,32,7,17.6,0.7右,8.4右,7i
39,17,54,28,0,4.1,16.8右,5.2右,7i
40,89,125,38,6,11.4,8.8左,10.8左,7i
41,30,59,26,2,12.7,3.1左,4.1左,7i
42,24,68,30,1,7.5,0.7右,1.3右,7i
43,45,77,30,3,11.4,18.1右,17.9右,7i
44,24,40,17,3,24.5,25.7左,11.5左,7i
45,23,76,37,0,4.4,2.1左,0.3右,7i
46,24,62,27,1,8.8,5.7右,3.3右,7i
47,74,85,31,12,25.9,12.6右,27.9右,7i
48,44,81,29,2,11.6,5.4左,2.6左,7i
49,94,107,36,14,21.7,4.9右,24.1右,7i
50,118,134,41,16,18.4,2.1左,13.1右,7i
51,93,117,36,10,18.3,0.5左,10.5右,7i
52,43,73,28,3,12.7,7.6右,9.3右,7i
53,102,128,40,9,12.7,6.2左,0.8左,7i
54,79,115,40,4,9.4,1.6右,12.7右,7i
55,77,104,32,8,17.6,3.0右,8.8右,7i
56,78,88,32,14,28.0,12.9右,31.2右,7i
