No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,12,52,29,0,3.7,11.4右,2.1右,9i
2,25,76,37,0,3.7,15.9右,7.9右,9i
3,27,52,22,2,16.1,5.5右,4.2右,9i
4,89,98,33,18,28.6,0.9左,6.0右,9i
5,83,102,33,11,21.3,8.2右,24.2右,9i
6,43,77,31,2,10.4,19.5右,18.2右,9i
7,21,75,38,0,3.7,1.1右,1.3右,9i
8,48,72,28,4,15.2,7.9右,11.8右,9i
9,12,43,24,0,5.2,5.3右,0.8右,9i
10,97,109,35,17,24.0,6.1左,6.6左,9i
11,91,102,34,17,26.4,0.5右,11.7右,9i
12,83,96,33,13,25.7,14.6右,35.3右,9i
13,13,64,35,0,2.7,1.5左,0.7左,9i
14,92,108,35,13,22.2,2.2左,8.0右,9i
15,15,60,32,0,3.9,10.3右,3.2右,9i
16,57,115,42,1,4.9,4.9左,3.2左,9i
17,13,17,12,2,30.2,18.4左,3.3左,9i
18,86,95,33,17,28.8,1.3右,11.2右,9i
19,85,102,33,12,22.7,6.4右,22.0右,9i
20,71,86,30,10,23.3,7.4右,19.5右,9i
21,85,97,33,13,23.9,0.3右,11.4右,9i
22,77,84,31,15,30.5,6.7右,20.5右,9i
23,16,65,34,0,3.0,5.8右,2.2右,9i
24,109,131,39,12,16.7,5.6左,1.7左,9i
25,77,103,36,7,15.1,0.9右,13.9右,9i
26,99,139,41,6,11.4,10.8左,20.2左,9i
27,109,119,38,20,24.5,6.5左,10.2左,9i
28,103,114,37,18,24.5,9.3左,13.3左,9i
29,79,104,32,8,18.0,4.8左,6.1左,9i
30,91,96,34,20,30.6,5.3右,21.9右,9i
31,25,68,30,1,7.5,6.7左,1.8左,7i
32,97,121,37,11,17.6,3.9左,5.6右,7i
33,18,56,29,0,4.2,13.1右,4.6右,7i
34,26,55,26,1,11.2,5.9左,0.8左,7i
35,69,103,35,4,9.9,2.7左,3.2左,7i
36,46,76,29,3,10.8,5.9左,2.4左,7i
37,17,23,13,3,33.4,18.1左,4.7左,7i
38,70,91,31,8,19.4,6.3右,17.0右,7i
39,78,94,33,10,21.9,7.8右,25.0右,7i
40,22,63,31,1,6.3,10.6右,2.9右,7i
41,71,85,31,10,23.1,16.0右,30.7右,7i
42,11,46,26,0,3.9,11.4右,1.9右,7i
43,29,60,27,2,11.7,4.8左,4.7左,7i
44,43,71,29,3,12.4,11.2右,12.2右,7i
45,109,128,39,14,19.1,1.2右,14.9右,7i
46,105,126,38,12,18.1,3.9右,17.0右,7i
47,83,99,34,11,22.3,9.1右,28.2右,7i
48,74,103,32,7,17.0,3.9左,0.8右,7i
49,118,135,40,16,18.7,5.8左,1.6左,7i
50,105,119,38,16,22.2,4.7右,28.3右,7i
51,72,93,33,8,20.1,6.2右,21.0右,7i
52,18,54,27,1,6.3,10.3右,2.4右,7i
53,26,63,29,1,8.7,2.7左,0.5右,7i
54,23,61,29,1,6.0,7.3左,1.9左,7i
55,31,48,20,4,25.2,19.8左,7.8左,7i
56,59,81,30,5,17.3,5.2右,13.3右,7i
57,110,129,39,14,18.6,2.6左,6.2右,7i
58,10,49,29,0,3.0,10.6右,1.6右,7i
