No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,117,124,41,23,24.2,7.3左,29.3左,9i
2,78,85,31,14,27.0,1.2左,4.4左,9i
3,72,78,29,16,32.8,5.2右,6.4右,9i
4,24,55,25,1,10.6,7.3左,4.6左,9i
5,12,54,31,0,3.3,0.8左,0.5左,9i
6,57,63,25,11,30.3,1.5右,4.8右,9i
7,88,109,36,9,16.7,0.5右,12.6右,9i
8,18,46,24,1,9.1,6.9左,1.3左,9i
9,84,112,38,6,12.0,3.0左,7.9右,9i
10,54,61,24,15,41.2,12.4右,17.3右,9i
11,23,47,23,1,12.4,10.0左,5.4左,9i
12,23,66,32,1,6.1,6.1右,1.2右,9i
13,94,96,35,22,30.4,5.8左,5.4左,9i
14,50,57,23,14,43.0,16.6右,18.5右,9i
15,100,105,37,20,25.8,8.1左,10.0左,9i
16,75,83,30,16,33.5,10.8右,28.6右,9i
17,95,98,36,26,34.7,2.3右,18.0右,9i
18,41,97,39,1,4.4,13.2左,9.1左,9i
19,87,96,33,14,23.9,4.9左,0.6左,9i
20,14,27,15,1,19.3,25.5左,6.8左,9i
21,79,81,31,20,35.1,5.0左,2.3左,9i
22,71,74,31,27,46.8,12.6右,24.8右,9i
23,108,112,39,23,26.4,13.5左,30.1左,9i
24,67,99,36,4,11.9,1.9左,7.2右,9i
25,78,108,37,5,11.8,0.7左,10.5右,9i
26,65,70,27,13,30.4,10.7左,11.3左,9i
27,100,116,38,12,16.8,15.9左,37.5左,9i
28,83,91,33,15,28.9,6.2右,25.4右,9i
29,95,101,35,26,35.3,0.8左,11.6右,9i
30,101,103,37,22,28.8,3.7左,6.6右,9i
31,63,77,30,9,25.4,16.6右,29.3右,9i
32,91,105,36,12,19.3,0.1左,12.7右,9i
33,93,97,35,21,30.1,0.4左,10.2右,9i
34,108,111,39,27,29.8,2.6左,4.5右,9i
35,100,106,36,20,26.1,5.2左,7.2左,9i
36,17,36,18,1,15.1,10.3左,3.7左,9i
37,38,73,31,2,10.8,6.3右,7.7右,9i
38,62,76,29,9,27.2,25.0右,36.2右,9i
39,103,105,38,28,32.9,2.9左,7.2右,9i
40,89,92,34,23,34.7,4.4右,23.9右,9i
41,105,113,38,19,24.3,16.5左,46.3左,9i
42,102,105,37,24,29.7,2.8左,6.7右,9i
43,45,49,22,15,46.3,5.2左,3.2左,9i
44,119,122,42,25,24.4,6.5左,16.7左,9i
45,47,53,22,9,32.5,2.7左,1.5左,9i
46,99,104,37,22,30.4,5.8右,27.5右,9i
47,30,40,18,5,28.8,22.4右,13.2右,9i
48,67,72,28,17,37.0,10.6右,19.6右,9i
49,95,106,36,14,21.1,1.3右,12.9右,9i
50,100,108,36,18,24.1,4.5左,5.8左,9i
51,78,86,31,13,25.1,8.9左,10.8左,9i
52,34,44,19,7,36.4,1.3左,1.0右,9i
53,43,50,21,12,43.6,17.8右,16.8右,9i
54,29,36,17,7,43.3,1.3左,1.0右,9i
55,62,72,27,10,26.1,5.8左,2.8左,9i
56,81,87,32,15,27.9,3.6左,3.7右,9i
57,52,59,24,9,29.6,3.9左,0.2左,9i
