No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,6,32,22,0,2.3,2.6左,0.2左,9i
2,17,52,27,0,6.1,0.0,0.7右,9i
3,76,82,30,17,32.5,6.6左,12.9左,9i
4,59,65,26,11,30.6,3.1左,1.2左,9i
5,12,41,23,0,6.0,7.9左,2.0左,9i
6,66,79,29,9,23.0,3.6右,9.8右,9i
7,42,50,21,9,37.4,11.1右,11.0右,9i
8,47,54,22,10,34.4,7.3右,8.6右,9i
9,51,57,24,13,39.5,5.8右,10.8右,9i
10,21,39,18,2,19.7,3.1右,2.2右,9i
11,14,18,12,2,31.3,14.5右,3.1右,9i
12,12,33,19,0,8.7,8.2右,1.3右,9i
13,69,92,31,6,15.8,2.6左,1.4右,9i
14,36,68,28,2,8.9,9.8右,7.7右,9i
15,61,79,29,6,18.9,1.2左,6.0右,9i
16,46,81,32,2,10.0,14.1右,15.4右,9i
17,16,58,32,0,2.5,5.0右,1.7右,9i
18,48,57,24,7,26.7,15.4右,17.1右,9i
19,26,49,21,2,18.0,15.1右,8.4右,9i
20,29,56,24,2,15.5,9.7左,2.8左,9i
21,45,55,23,6,25.9,14.3右,15.1右,9i
22,41,66,27,3,13.0,25.4右,20.2右,9i
23,15,36,20,1,10.7,21.9左,6.1左,9i
24,36,59,24,4,20.8,10.7左,3.2左,9i
25,61,74,28,8,22.5,3.2左,3.8右,9i
26,13,30,16,1,13.2,1.5左,0.1右,9i
27,49,55,23,11,36.6,21.9右,21.3右,9i
28,80,107,37,6,13.2,8.4右,24.7右,9i
29,23,37,17,3,26.6,24.7左,10.7左,9i
30,59,75,28,7,21.1,6.8右,15.0右,9i
31,40,69,26,3,18.1,15.3左,13.7左,9i
32,39,45,21,7,31.0,29.1右,20.9右,9i
33,36,68,28,2,9.9,8.8右,7.9右,9i
34,41,59,24,4,19.3,22.4右,19.7右,9i
35,33,92,43,1,5.1,2.2右,1.1左,9i
36,29,64,25,2,12.4,5.8左,1.7左,9i
37,4,21,17,0,3.5,41.8右,2.8右,9i
38,60,68,26,13,33.7,5.8右,9.1右,9i
39,55,62,25,12,35.8,13.2右,16.8右,9i
40,47,75,26,4,16.5,2.7左,2.8左,9i
41,20,58,26,1,7.8,0.3左,0.7左,9i
42,42,69,27,3,12.2,1.2右,3.7右,9i
43,26,62,26,1,10.3,2.2左,0.3右,9i
44,40,48,21,8,33.0,6.4右,7.4右,9i
45,67,87,31,7,16.9,3.7左,0.2左,9i
46,60,69,26,11,30.4,10.7右,17.0右,9i
47,54,64,25,8,25.5,1.2右,4.9右,9i
48,19,29,15,3,27.2,29.0右,9.9右,9i
49,12,28,17,1,11.5,5.1右,0.6右,9i
50,18,33,17,2,18.2,2.6左,1.8左,9i
51,14,50,27,0,5.3,12.3左,3.5左,9i
52,21,41,20,1,13.1,7.2右,3.8右,9i
53,58,73,27,7,20.9,4.3左,3.3左,9i
54,75,83,30,13,27.0,3.6左,0.8右,9i
55,16,51,27,0,5.8,7.2左,1.4左,9i
56,61,72,27,9,24.3,3.3右,9.8右,9i
57,37,55,23,3,18.0,12.5右,10.1右,9i
58,22,72,35,1,5.0,7.6右,4.1右,9i
59,7,38,26,0,1.6,0.8左,0.1左,9i
60,66,77,28,10,25.4,1.4右,7.0右,9i
61,5,17,14,0,6.9,5.3右,0.5右,9i
62,54,68,26,7,22.2,7.0右,10.8右,9i
63,74,83,30,12,24.9,0.8右,4.5右,9i
64,12,53,30,0,2.5,5.6右,1.4右,9i
65,4,21,18,0,3.1,3.1左,0.2左,9i
66,54,102,41,2,6.0,7.3右,12.2右,9i
67,24,55,26,1,9.9,1.6右,2.3右,9i
68,24,50,24,1,12.6,17.3右,8.9右,9i
69,11,55,31,0,3.0,8.1右,1.3右,9i
70,14,19,12,2,30.3,24.8左,5.3左,9i
71,8,31,20,0,4.9,19.0右,2.8右,9i
72,26,50,22,2,16.2,0.6右,2.0右,9i
73,22,46,22,1,11.3,1.1右,1.6右,9i
74,54,72,28,6,18.9,10.9右,16.2右,9i
75,12,41,21,0,6.8,10.0右,2.3右,9i
76,22,66,33,0,3.3,3.0右,1.7右,9i
77,9,19,13,1,14.8,19.8右,3.2右,9i
78,56,74,28,6,18.6,3.7左,1.9右,9i
79,31,61,27,2,13.0,29.8右,17.5右,9i
80,51,61,24,8,28.1,9.2右,13.0右,9i
81,9,27,16,0,9.5,7.4右,1.0右,9i
82,63,81,30,6,18.2,8.3右,16.4右,9i
83,40,61,26,3,16.6,19.2右,17.0右,9i
84,11,24,13,1,18.8,2.2左,0.1左,9i
85,36,50,22,4,21.4,18.3右,13.8右,9i
86,18,38,20,1,13.4,11.1左,2.5左,9i
