No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds)
1,60,70,26,12,32.2,11.7右,19.0右
2,54,88,30,4,13.8,2.3左,0.5右
3,17,38,20,1,11.3,27.0左,8.3左
4,59,69,26,13,34.7,17.4右,25.5右
5,53,71,27,7,23.3,14.3右,20.6右
6,18,22,14,7,53.3,9.1左,2.5左
7,10,54,32,0,2.6,15.9左,3.0左
8,47,53,22,14,44.3,6.6右,3.6右
9,64,71,27,15,36.4,1.3左,1.3左
10,51,66,25,7,23.4,5.8左,4.1左
11,59,78,30,6,19.2,10.5右,20.0右
12,74,85,30,13,28.3,20.4右,34.3右
13,80,87,31,14,26.0,4.5左,3.2左
14,8,36,23,0,3.6,19.1左,2.6左
15,84,95,32,14,25.5,1.1左,0.6左
16,44,71,29,3,13.2,19.2右,18.8右
17,53,59,24,16,43.7,2.9右,5.2右
18,63,71,26,15,36.1,5.2右,9.2右
19,19,22,14,7,53.9,18.5左,6.0左
20,14,36,20,1,10.2,24.3左,6.4左
21,10,46,27,0,3.5,4.1右,0.9右
22,34,42,19,7,34.3,5.6右,3.3右
23,85,91,32,18,30.1,1.8右,10.8右
24,21,23,15,7,50.3,32.0左,10.5左
25,53,63,24,11,35.1,14.2右,17.6右
26,58,66,25,14,36.8,8.3右,7.1右
27,23,30,15,8,50.8,9.0左,5.3左
28,43,56,22,6,26.2,12.5左,9.4左
29,72,94,32,8,18.6,16.2左,28.7左
30,41,50,21,7,29.6,0.9左,1.7右
31,94,102,34,17,25.9,0.7左,0.6右
32,38,83,35,1,6.4,3.7右,5.3右
33,82,91,32,16,28.4,6.0右,17.8右
34,103,113,37,17,22.4,0.7左,2.7右
35,9,62,37,0,1.6,9.9右,1.4右
36,73,88,30,10,23.5,4.1右,14.2右
37,28,34,16,7,42.4,6.9左,1.6左
38,29,37,17,8,43.4,13.5右,7.1右
39,54,64,25,8,25.6,9.2右,13.4右
40,67,76,28,10,25.0,3.0右,8.0右
41,47,65,26,5,19.6,17.1右,19.2右
42,71,81,30,11,24.9,4.9右,11.0右
43,69,79,28,14,31.3,9.2右,16.5右
44,65,95,34,4,12.3,8.0右,17.0右
45,74,94,31,8,19.0,8.9左,13.6左
46,74,84,29,14,29.7,3.4右,6.5右
47,20,22,14,7,50.8,3.0右,0.1左
48,32,37,18,9,44.7,3.0左,2.7左
49,89,101,33,15,25.2,3.5右,12.9右
50,88,94,33,22,33.2,4.3右,10.2右
51,19,47,24,1,9.0,21.9左,7.8左
52,65,75,29,10,25.4,8.8右,19.0右
53,18,21,14,7,53.9,2.0右,0.6右
54,78,92,32,10,20.8,3.4左,0.8左
