No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,26,57,24,2,12.6,0.8左,1.3右,9i
2,55,78,26,6,21.2,4.9左,3.6左,9i
3,81,96,32,11,21.5,0.2左,6.5右,9i
4,83,97,32,12,22.8,1.9左,5.4右,9i
5,75,88,31,11,24.0,0.1左,8.4右,9i
6,77,90,30,13,26.3,1.2右,6.5右,9i
7,67,80,29,9,23.4,1.8左,5.5右,9i
8,62,72,27,11,29.0,7.7右,15.9右,9i
9,67,79,29,11,26.1,2.4右,12.0右,9i
10,65,78,28,10,26.0,5.2右,11.2右,9i
11,29,60,27,2,11.6,16.3左,5.9左,9i
12,11,64,38,0,1.4,8.4右,1.8右,9i
13,45,84,34,2,9.7,4.6右,8.4右,9i
14,92,103,35,15,23.5,5.6左,0.4左,9i
15,76,90,30,11,24.5,5.6左,0.9左,9i
16,86,99,34,13,22.6,10.6右,27.2右,9i
17,101,113,36,17,23.9,5.0左,8.3左,9i
18,63,88,29,7,19.9,12.6左,19.0左,9i
19,24,62,28,1,8.7,12.1左,6.2左,9i
20,80,105,35,7,14.6,4.5左,2.5右,9i
21,77,90,30,13,26.0,3.3右,10.0右,9i
22,47,62,24,6,23.2,12.2右,13.4右,9i
23,81,103,33,8,17.5,2.5右,10.7右,9i
24,17,55,29,0,5.6,13.6右,4.7右,9i
25,98,107,36,19,26.8,3.0左,3.8右,9i
26,55,86,33,3,11.8,11.4右,17.4右,9i
27,77,100,31,9,19.3,2.6左,5.5左,9i
28,12,52,29,0,3.8,8.9左,1.6左,9i
29,95,103,35,20,29.4,1.9右,16.3右,9i
30,93,104,34,17,25.8,5.1左,7.9左,9i
31,78,94,31,12,23.8,4.5左,7.2左,9i
32,10,62,37,0,1.8,7.0左,1.4左,9i
33,76,112,40,4,10.1,8.7右,23.0右,9i
34,49,99,38,1,5.9,3.8左,0.3左,9i
35,52,94,37,2,7.7,3.1右,8.0右,9i
36,87,116,39,7,14.9,5.5右,23.9右,9i
37,51,88,32,3,11.3,11.5右,14.5右,9i
38,80,91,31,14,27.6,1.6右,11.0右,9i
39,34,66,26,2,14.9,12.8左,9.5左,7i
40,32,50,19,4,23.9,25.7左,14.0左,7i
41,30,53,22,3,19.7,24.2左,14.5左,7i
42,35,57,23,4,21.4,20.2左,14.9左,7i
43,15,45,22,1,8.0,2.2左,0.2左,7i
44,17,26,14,3,32.2,45.4左,11.4左,7i
45,41,65,25,4,20.8,12.0左,4.1左,7i
46,20,49,22,1,11.9,1.9左,0.1右,7i
47,4,43,30,0,0.9,15.1左,1.0左,7i
48,18,65,33,0,4.4,3.4左,1.8左,7i
49,9,50,30,0,2.4,7.4左,1.0左,7i
50,7,49,31,0,1.7,11.1左,1.2左,7i
51,12,40,23,0,5.5,18.1左,3.9左,7i
52,40,50,20,8,34.7,2.4左,0.3左,7i
53,5,52,35,0,0.7,8.8右,0.8右,7i
