No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,87,108,35,9,17.2,1.8左,9.0右,9i
2,26,41,17,3,25.1,35.5右,16.1右,9i
3,31,40,18,7,39.3,5.6左,1.0右,9i
4,61,72,26,12,31.4,3.0右,7.5右,9i
5,38,68,26,3,16.9,5.9左,1.0左,9i
6,33,82,37,1,5.1,0.0,2.2右,9i
7,50,59,23,11,35.9,2.3右,4.1右,9i
8,97,109,35,17,24.6,7.3左,9.9左,9i
9,62,78,27,9,25.0,5.9左,5.7左,9i
10,10,47,27,0,3.4,3.7左,0.9左,9i
11,32,46,20,4,27.4,19.7右,13.4右,9i
12,85,94,32,17,29.5,4.3左,2.9左,9i
13,11,39,23,0,5.6,21.8左,4.4左,9i
14,60,69,26,14,36.4,0.9左,5.6右,9i
15,86,94,32,19,30.9,4.2左,4.5左,9i
16,12,61,34,0,2.6,8.5右,1.5右,9i
17,10,21,14,1,15.4,8.6左,1.8左,9i
18,64,77,27,11,27.3,1.8左,1.1右,9i
19,92,101,34,18,27.8,5.4左,2.0左,9i
20,68,80,28,12,28.3,2.7右,5.3右,9i
21,59,69,26,11,30.6,6.2右,10.0右,9i
22,73,86,29,12,26.1,6.9左,7.2左,9i
23,96,105,35,19,27.3,8.9左,21.8左,9i
24,17,35,19,1,11.4,29.1右,8.5右,9i
25,101,108,36,21,28.2,2.5左,1.1右,9i
26,116,122,40,23,24.4,8.1左,17.5左,9i
27,18,20,14,8,56.1,6.3左,1.4左,9i
28,102,107,37,22,28.2,3.0左,2.8右,9i
29,49,59,23,10,34.5,10.4右,14.6右,9i
30,47,56,22,10,35.6,1.5右,1.1右,9i
31,62,70,26,14,35.9,4.7左,3.9左,9i
32,73,83,29,14,29.0,7.7左,7.8左,9i
33,45,91,38,1,6.9,4.7左,0.7右,9i
34,86,97,32,15,25.9,9.2左,17.7左,9i
35,73,83,29,14,29.2,1.0左,3.3右,9i
