No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,20,39,20,1,15.1,18.4右,7.5右,9i
2,29,56,26,2,12.8,14.3右,9.4右,9i
3,53,61,24,11,33.2,2.0左,1.9左,9i
4,70,79,28,16,33.4,6.1右,9.5右,9i
5,42,50,21,9,36.7,1.5左,1.1左,9i
6,44,52,22,7,29.0,7.9右,6.5右,9i
7,59,73,27,9,24.7,14.0左,18.7左,9i
8,73,80,29,15,32.1,4.0左,11.5左,9i
9,67,73,28,12,29.3,1.5左,3.2左,9i
10,54,61,24,11,33.6,3.5右,2.9右,9i
11,77,112,39,4,9.4,10.2右,23.8右,9i
12,105,110,38,28,32.9,2.2左,11.5左,9i
13,4,57,37,0,0.7,2.1右,0.2右,9i
14,84,93,32,16,28.1,3.7左,7.2左,9i
15,21,27,14,5,40.8,25.0右,10.1右,9i
16,75,78,30,17,32.6,5.4右,10.2右,9i
17,88,103,33,13,22.9,7.0左,18.3左,9i
18,42,47,21,14,47.2,23.8右,18.2右,9i
19,10,12,11,5,64.9,15.0左,2.1左,9i
20,45,51,22,13,43.9,1.1右,4.2右,9i
21,72,75,30,22,40.3,7.6右,13.0右,9i
22,40,47,20,9,39.2,4.6右,3.1右,9i
23,77,82,31,22,37.5,1.5右,0.9右,9i
24,75,81,30,21,38.3,2.2右,9.1右,9i
25,33,64,27,2,13.0,2.9右,4.5右,9i
26,55,96,37,2,7.1,1.2左,3.6右,9i
27,76,85,30,16,32.4,9.5左,20.0左,9i
28,74,76,30,20,36.4,7.4右,11.8右,9i
29,48,54,23,11,36.4,6.2右,7.9右,9i
30,49,55,23,16,45.3,20.1右,17.0右,9i
31,20,38,17,2,18.5,44.0右,14.2右,9i
32,57,65,25,10,28.6,8.3右,11.6右,9i
33,76,93,33,9,19.3,13.4右,29.1右,9i
34,24,31,16,3,27.5,30.0右,12.3右,9i
35,42,46,21,11,40.3,6.7右,7.1右,9i
36,56,87,33,4,11.9,7.6右,13.9右,9i
37,71,82,30,10,23.6,2.8左,1.4左,9i
38,53,58,24,12,35.7,14.9右,18.4右,9i
39,37,47,19,7,34.6,34.6右,21.3右,9i
40,59,79,29,6,16.8,2.0右,6.9右,9i
41,63,76,28,8,22.7,6.8右,13.9右,9i
42,14,59,32,0,3.4,12.1右,2.5右,9i
43,69,84,30,9,21.0,4.6右,13.5右,9i
44,12,49,28,0,4.0,8.0右,1.4右,9i
45,42,81,33,2,10.1,8.5右,10.7右,9i
46,30,33,17,8,43.3,11.9右,7.7右,9i
47,61,69,26,12,31.8,0.7右,4.1右,9i
48,79,90,32,12,23.5,0.9右,10.2右,9i
49,71,79,29,14,30.7,4.2左,4.5左,9i
50,63,71,27,14,33.4,3.2左,0.7右,9i
51,58,61,26,14,36.4,9.3右,14.8右,9i
52,58,63,25,12,32.9,1.3左,1.4右,9i
53,75,82,30,13,26.6,4.3右,12.4右,9i
54,70,77,28,16,34.7,8.1右,14.6右,9i
55,26,38,19,3,23.4,2.9左,0.8右,9i
56,57,69,27,8,23.9,26.7右,32.1右,9i
57,29,44,21,3,21.5,8.5左,1.6左,9i
58,93,105,36,13,21.1,3.7右,18.8右,9i
