No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,54,58,24,12,34.2,2.4右,3.8右,9i
2,53,58,24,14,40.7,10.6右,13.3右,9i
3,30,34,17,6,37.6,5.9右,5.5右,9i
4,66,72,28,12,29.6,1.7左,1.9右,9i
5,10,44,27,0,3.4,7.9右,1.5右,9i
6,50,61,24,8,27.6,1.9右,6.1右,9i
7,53,60,24,11,34.1,12.1右,16.4右,9i
8,73,79,29,16,32.1,4.7右,13.5右,9i
9,42,50,21,10,38.7,8.3右,7.5右,9i
10,5,51,33,0,1.2,11.5左,1.1左,9i
11,94,104,34,18,26.8,10.4左,17.5左,9i
12,93,106,34,15,23.1,5.2左,5.9左,9i
13,85,94,33,14,24.2,6.8左,7.7左,9i
14,45,54,22,9,32.3,1.2右,2.0右,9i
15,26,34,16,6,40.2,17.5右,9.1右,9i
16,60,92,32,3,10.5,11.4左,11.2左,9i
17,68,78,28,13,30.9,2.4右,7.1右,9i
18,46,57,22,9,33.3,2.3左,1.2右,9i
19,81,90,31,15,27.8,1.7右,8.0右,9i
20,81,106,34,8,18.1,16.2左,31.0左,9i
21,64,73,27,10,26.4,6.1左,6.9左,9i
22,107,116,38,21,25.4,8.4左,22.7左,9i
23,98,107,35,19,26.3,8.3左,15.1左,9i
24,64,80,28,9,24.6,6.2右,13.8右,9i
25,110,116,39,25,28.0,1.5左,2.7左,9i
26,73,77,29,15,30.5,4.0右,10.3右,9i
27,110,122,39,18,21.8,14.9左,45.0左,9i
28,50,60,23,9,30.9,4.0左,3.2左,9i
29,11,63,38,0,1.0,3.5左,0.6左,9i
30,89,102,34,13,22.3,8.8左,18.0左,9i
31,21,44,19,2,16.3,9.3左,2.5左,9i
32,95,105,36,14,21.4,7.9左,10.1左,9i
33,83,96,32,14,25.8,14.5左,28.0左,9i
34,47,53,23,9,31.6,3.4右,5.8右,9i
35,81,86,31,20,33.9,5.8左,8.4左,9i
36,46,55,22,10,35.7,0.4左,1.4左,9i
37,36,46,19,8,36.3,5.7右,5.6右,9i
38,49,89,31,2,10.4,8.5左,5.9左,9i
39,94,109,36,11,18.1,6.1左,0.0,9i
40,112,124,39,19,22.8,8.2左,26.3左,9i
41,73,81,29,16,33.2,7.5右,19.5右,9i
42,15,43,23,0,5.5,29.9左,7.3左,9i
43,96,109,36,14,21.3,5.6左,15.4左,9i
44,72,111,39,3,8.6,0.9右,10.3右,9i
45,89,99,34,14,22.6,2.2左,2.7右,9i
46,86,98,34,11,20.6,2.4右,13.9右,9i
47,94,124,37,8,13.6,2.0左,0.1右,9i
48,24,74,36,0,4.0,3.3左,0.2左,9i
49,24,50,22,2,14.4,0.1右,1.5右,9i
50,21,53,26,1,8.7,5.5左,0.8左,9i
51,61,97,36,3,8.6,1.3左,3.9右,9i
52,17,44,23,1,6.7,4.8左,1.4左,9i
53,31,56,24,2,12.4,9.6左,6.9左,9i
54,6,20,15,0,6.4,0.1右,0.1左,9i
55,12,44,26,0,4.7,6.7左,1.7左,9i
56,48,74,26,4,17.5,8.2左,8.6左,9i
57,35,59,23,3,16.4,7.8左,6.7左,9i
58,53,73,27,5,18.1,6.5左,7.0左,9i
59,52,80,27,5,18.0,4.1左,4.6左,9i
60,39,64,23,3,18.4,3.5左,2.2左,9i
61,43,71,26,3,14.3,12.1左,11.1左,9i
62,12,38,21,0,6.7,11.5左,2.8左,9i
63,44,78,28,3,13.7,7.5左,8.2左,9i
64,28,52,23,1,11.0,1.0右,0.5右,9i
65,42,68,26,3,13.3,3.9左,3.2左,9i
66,12,49,28,0,4.0,8.7左,2.2左,9i
67,21,55,27,1,8.3,5.1左,3.1左,9i
68,40,68,25,3,16.4,2.9左,3.2左,9i
69,54,78,28,5,18.1,9.6左,13.7左,9i
70,11,40,23,0,5.0,21.2右,4.1右,9i
71,19,48,24,1,8.7,8.3左,3.6左,9i
