No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,50,61,23,10,33.9,28.5右,28.7右,9i
2,30,55,24,2,11.8,17.2右,10.2右,9i
3,32,56,23,3,18.0,19.9左,8.4左,9i
4,64,71,27,13,32.4,7.8右,16.8右,9i
5,69,89,29,9,22.2,2.3左,1.1右,9i
6,11,46,27,0,3.8,11.9左,2.5左,9i
7,100,125,37,10,16.2,12.9左,27.5左,9i
8,82,90,32,17,30.6,6.1右,16.6右,9i
9,69,110,37,3,8.7,3.7左,3.2左,9i
10,67,88,30,7,19.2,3.8左,8.7左,9i
11,26,47,20,3,20.4,13.6右,7.7右,9i
12,95,108,35,14,21.3,6.9左,12.0左,9i
13,86,96,33,14,24.3,0.1右,9.9右,9i
14,22,71,35,0,2.8,12.8左,5.5左,9i
15,22,51,25,1,10.0,11.2左,5.5左,9i
16,91,100,34,17,26.0,0.9右,5.3右,9i
17,25,65,31,1,7.3,7.8左,4.9左,9i
18,7,36,24,0,2.9,16.0左,1.9左,9i
19,24,52,22,2,13.6,10.8左,3.4左,9i
20,94,112,35,13,21.4,2.9左,8.2左,9i
21,98,115,36,13,18.9,1.5左,3.4右,9i
22,12,67,38,0,1.3,1.6右,0.5右,9i
23,108,118,38,20,24.1,2.9左,1.8左,9i
24,10,48,29,0,3.1,0.0,0.2右,9i
25,97,135,43,5,7.6,1.9右,12.8右,9i
26,92,99,34,19,28.8,4.4右,16.5右,9i
27,97,110,37,14,21.2,3.9右,22.3右,9i
28,110,128,39,15,18.9,8.8左,26.4左,9i
29,70,103,38,5,12.7,1.5右,14.0右,9i
30,88,103,35,12,20.6,11.4右,28.8右,9i
31,28,78,36,1,6.0,6.6右,1.4右,9i
32,47,76,30,3,12.3,0.5右,4.9右,9i
33,110,125,39,17,22.1,10.7左,39.5左,9i
34,109,119,38,21,24.8,5.9左,18.3左,9i
35,101,119,39,12,18.2,16.9左,47.8左,9i
36,83,107,33,9,18.2,2.9左,4.7左,7i
37,27,60,27,1,7.0,11.1右,4.6右,7i
38,10,55,32,0,2.4,14.8右,2.3右,7i
39,54,89,34,3,10.3,11.3右,16.5右,7i
40,53,94,36,2,8.6,14.7右,19.0右,7i
41,39,71,30,3,13.6,16.4右,7.0右,7i
42,28,45,20,3,22.9,19.9左,11.8左,7i
43,80,114,37,5,10.7,3.4左,2.4左,7i
44,24,64,27,1,8.8,6.2左,1.8左,7i
45,50,72,27,5,18.0,14.6右,17.8右,7i
46,85,97,34,13,23.4,4.0右,19.4右,7i
47,70,90,32,7,18.8,9.2右,21.6右,7i
48,41,85,36,2,8.5,4.2右,7.0右,7i
49,23,55,26,1,9.5,8.1左,1.9左,7i
50,65,99,33,4,12.6,1.0左,4.3右,7i
51,30,58,25,1,9.3,12.7左,6.6左,7i
52,11,33,19,0,7.9,19.8左,4.0左,7i
53,68,113,39,3,7.5,2.6左,1.5左,7i
54,102,112,37,17,23.0,4.7右,20.9右,7i
55,98,108,36,17,24.5,5.0右,22.9右,7i
56,30,64,26,2,12.9,13.1左,8.4左,7i
57,97,113,36,14,21.8,3.3右,17.9右,7i
58,67,101,33,5,14.7,4.3左,11.1左,7i
59,98,109,37,14,20.9,2.1右,18.9右,7i
