No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,65,88,31,6,15.0,13.7左,16.8左,9i
2,77,96,31,10,21.6,9.0左,8.8左,9i
3,81,97,32,12,24.4,0.7右,10.8右,9i
4,73,92,31,8,18.4,4.3左,1.9左,9i
5,17,41,21,1,9.6,7.4左,1.5左,9i
6,36,64,24,3,16.1,13.7右,10.3右,9i
7,50,90,33,2,8.4,20.0左,18.2左,9i
8,16,58,30,0,4.4,19.0左,5.6左,9i
9,51,88,33,2,8.4,3.8左,1.3左,9i
10,20,31,15,2,22.5,9.1右,2.9右,9i
11,10,54,33,0,1.5,12.1左,2.0左,9i
12,85,112,36,7,12.8,15.3左,26.5左,9i
13,33,63,27,1,8.9,20.3左,12.4左,9i
14,54,76,27,5,18.3,6.6左,4.6左,9i
15,64,89,31,5,14.4,10.9左,11.4左,9i
16,29,38,17,5,34.4,18.4左,9.3左,9i
17,17,23,13,5,46.0,7.3右,2.9右,9i
18,14,54,29,0,4.3,4.1左,0.5左,9i
19,6,34,23,0,2.9,3.3左,0.3左,9i
20,21,65,32,1,5.6,14.5左,4.3左,9i
21,18,43,22,1,10.2,17.2左,6.2左,9i
22,21,45,22,1,12.3,17.0左,5.0左,9i
23,19,56,28,0,4.3,3.7左,0.8左,9i
24,27,41,19,2,18.8,6.4左,2.5左,9i
25,70,94,30,8,19.5,4.4左,2.7左,9i
26,76,106,34,6,13.6,14.7左,21.7左,9i
27,46,78,29,3,14.7,9.3右,12.2右,9i
28,85,105,34,9,17.3,11.5左,18.0左,9i
29,28,38,17,5,34.8,14.7左,7.2左,9i
30,52,62,23,11,34.1,19.9左,18.8左,9i
31,53,73,26,5,18.7,13.4左,11.1左,9i
32,93,118,36,9,16.0,12.3左,22.9左,9i
33,19,71,36,0,3.9,4.7左,2.4左,9i
34,68,89,30,7,19.5,1.5左,4.9右,9i
35,24,27,15,6,44.1,25.3左,10.3左,9i
36,30,35,17,7,40.6,14.9左,8.6左,9i
37,87,106,34,11,19.5,5.4左,2.6左,9i
38,34,40,19,9,43.2,0.9右,0.8右,9i
39,15,27,15,1,19.4,23.1左,6.6左,9i
40,86,115,35,8,16.0,13.6左,23.1左,9i
41,39,57,22,5,23.9,0.3左,2.0左,9i
42,17,33,18,1,15.2,25.0左,7.9左,9i
43,7,35,23,0,3.2,14.4左,1.6左,9i
44,15,30,15,1,20.2,22.3左,5.3左,9i
45,11,44,25,0,4.4,8.6右,2.0右,9i
46,56,82,28,6,19.8,11.3右,17.6右,9i
47,18,40,21,1,10.9,8.8左,1.9左,9i
48,73,98,32,6,15.0,5.5左,7.4左,9i
49,31,62,28,2,12.3,6.1右,6.1右,9i
50,16,42,22,1,9.1,4.7左,2.0左,9i
51,20,40,20,1,11.8,13.1左,4.8左,9i
52,17,39,18,1,13.6,12.6左,3.1左,9i
53,57,93,30,4,14.1,11.9左,12.7左,9i
54,59,94,32,3,11.2,5.9左,5.2左,9i
55,57,69,25,10,29.0,8.1右,10.9右,9i
56,40,68,28,2,11.7,7.4左,1.8左,9i
57,49,79,29,3,11.7,22.7左,20.7左,9i
58,13,28,16,1,14.0,23.3左,5.6左,9i
59,11,15,10,3,50.5,33.1左,6.2左,9i
60,78,103,32,8,17.8,7.1左,5.2左,9i
61,20,34,16,2,21.5,9.1左,3.1左,9i
62,50,79,27,4,17.2,5.4左,4.0左,9i
63,9,44,27,0,2.8,5.2左,0.7左,9i
64,21,57,28,1,7.3,5.5右,3.1右,9i
65,39,50,20,6,30.3,18.8右,12.2右,9i
66,37,66,27,2,12.4,8.9右,9.1右,9i
67,24,29,15,6,43.3,13.7左,7.0左,9i
68,50,71,25,5,20.3,4.3右,7.0右,9i
69,46,56,22,10,35.5,10.7左,10.3左,9i
70,52,75,26,6,20.6,4.9右,9.2右,9i
71,16,54,29,0,3.8,12.5左,3.0左,9i
72,7,24,17,0,5.2,13.5左,1.7左,9i
73,53,65,24,9,30.2,15.8左,16.3左,9i
74,14,34,19,1,11.1,19.1左,5.2左,9i
75,73,99,32,6,15.2,14.7左,22.0左,7i
76,20,57,28,1,6.8,4.7右,2.6右,7i
77,20,65,33,0,2.7,15.4左,5.1左,7i
78,76,99,33,7,15.7,9.3左,12.0左,7i
79,75,97,32,8,17.8,6.6左,6.6左,7i
80,29,73,33,1,4.2,5.6左,2.3左,7i
81,45,71,26,4,18.7,11.3右,13.5右,7i
82,4,31,23,0,1.8,9.7左,0.6左,7i
83,30,70,31,1,6.3,3.6左,0.2左,7i
84,61,91,31,5,14.1,17.1左,20.1左,7i
85,27,33,16,6,38.5,36.2左,15.5左,7i
86,61,78,28,7,20.3,10.2左,8.7左,7i
87,61,78,27,8,22.5,12.0左,13.9左,7i
88,50,66,25,6,21.7,22.7左,22.5左,7i
89,62,92,30,5,16.2,7.3左,6.2左,7i
90,70,99,31,6,16.3,10.8左,15.2左,7i
91,5,20,16,0,4.4,26.3左,2.2左,7i
92,7,35,24,0,2.4,6.1右,0.8右,7i
