No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,14,53,30,0,2.5,13.7右,3.3右,9i
2,59,87,33,5,14.8,13.4右,22.2右,9i
3,70,88,31,8,20.5,11.2右,24.4右,9i
4,52,60,24,12,37.4,23.2右,23.3右,9i
5,102,115,37,16,23.1,9.1右,31.1右,9i
6,83,111,38,6,12.2,7.1右,22.6右,9i
7,75,96,34,8,18.7,19.0右,36.4右,9i
8,76,98,34,8,18.4,17.5右,35.0右,9i
9,67,79,28,11,26.9,10.0右,18.0右,9i
10,14,28,16,1,13.4,37.8右,8.7右,9i
11,21,53,26,1,6.2,12.5右,5.0右,9i
12,41,46,21,14,48.0,20.8右,16.6右,9i
13,74,84,30,14,28.8,0.9右,6.1右,9i
14,65,81,28,10,25.1,2.5右,4.5右,9i
15,57,77,27,7,22.0,0.7右,5.1右,9i
16,58,66,25,14,37.5,14.9右,19.9右,9i
17,27,61,25,2,12.5,3.2右,0.3右,9i
18,31,61,24,2,16.2,3.5左,0.2左,9i
19,76,111,35,6,14.2,0.7右,4.9左,9i
20,77,91,32,11,24.1,12.8右,28.7右,9i
21,67,80,29,10,24.7,9.7右,20.1右,9i
22,85,100,32,13,23.7,6.4右,8.1右,9i
23,34,63,25,3,16.4,10.4右,8.4右,9i
24,38,68,26,3,17.0,6.4右,7.2右,9i
25,49,66,26,6,21.2,28.8右,28.5右,9i
26,24,51,24,1,11.7,7.1右,4.6右,9i
27,27,64,26,1,11.1,11.2右,6.3右,9i
28,41,85,36,1,7.4,15.6右,14.7右,9i
29,72,88,29,10,24.2,2.8右,4.9右,9i
30,47,79,31,3,10.9,19.1右,19.5右,9i
31,86,98,33,13,23.3,1.0右,0.6右,9i
32,57,74,28,6,20.1,22.3右,27.9右,9i
33,14,53,29,0,4.3,8.0右,1.5右,9i
34,65,81,29,8,21.7,9.4右,18.3右,9i
35,13,32,18,1,8.7,13.8右,3.1右,9i
36,41,67,27,3,13.1,21.6右,18.3右,9i
37,63,75,27,10,26.3,4.9右,8.9右,9i
38,14,40,20,1,9.2,5.2右,1.5右,9i
39,21,63,31,0,3.4,15.2右,5.9右,9i
40,16,32,17,1,15.4,5.5右,2.4右,9i
41,76,83,30,16,31.0,6.5右,12.5右,9i
42,54,64,25,10,30.7,17.2右,22.0右,9i
43,92,99,34,21,30.9,2.9右,5.8右,9i
44,41,49,21,11,43.2,24.3右,19.9右,9i
45,20,44,20,1,14.5,15.7右,6.1右,9i
46,49,60,23,9,31.7,13.0右,13.8右,9i
47,70,88,29,9,21.9,0.2右,1.0左,9i
48,61,82,29,7,19.9,13.4右,21.2右,9i
49,42,73,30,2,11.1,22.2右,19.5右,9i
50,14,36,20,0,7.4,24.3右,5.9右,9i
51,25,61,26,1,10.4,4.5右,0.9右,9i
52,75,103,32,7,17.6,4.5右,1.7右,9i
53,28,53,22,2,16.4,11.5右,7.5右,9i
54,16,37,19,1,11.4,29.8右,8.3右,9i
55,17,44,21,1,10.3,25.5右,7.9右,9i
56,45,89,32,2,9.6,3.9右,3.2右,9i
57,20,60,28,0,5.0,7.1右,2.7右,9i
58,8,40,25,0,3.0,26.5右,3.5右,9i
59,47,98,35,2,7.9,9.9右,8.5右,9i
60,43,58,22,6,27.2,41.8右,31.7右,9i
61,21,42,18,2,19.0,15.2右,6.5右,9i
62,8,51,32,0,1.8,27.7右,3.9右,9i
63,9,51,31,0,2.4,23.0右,3.6右,9i
64,21,69,35,0,2.4,9.3右,3.7右,9i
65,7,40,26,0,2.6,46.2右,5.1右,9i
66,24,59,28,1,8.6,2.2左,2.5左,9i
67,17,36,19,1,13.7,9.5右,3.6右,9i
68,34,69,29,1,7.1,14.7右,9.0右,9i
69,73,97,32,7,16.6,10.7右,20.5右,9i
70,20,73,37,0,3.8,10.9右,4.7右,9i
71,25,36,17,4,31.7,17.1右,5.3右,9i
72,6,44,29,0,1.8,41.4右,4.2右,9i
73,79,104,32,8,18.3,6.8右,11.5右,9i
74,22,42,20,1,14.6,12.5右,5.8右,9i
75,83,105,34,10,19.8,1.6左,14.9左,9i
76,87,96,33,15,25.0,11.8右,27.1右,9i
77,62,91,31,5,14.3,14.1右,19.9右,9i
78,42,76,31,2,10.1,20.5右,18.5右,9i
79,7,48,30,0,1.9,34.5右,4.1右,9i
80,91,99,34,16,25.9,9.9右,24.8右,9i
81,59,78,30,6,18.5,31.4右,37.4右,9i
82,82,96,32,12,22.5,2.9右,8.2右,9i
83,22,73,36,0,4.6,7.9右,4.1右,9i
84,42,74,29,3,12.9,0.4左,3.8左,9i
85,60,104,35,3,9.9,10.9右,11.9右,9i
86,78,94,33,9,19.6,14.0右,30.8右,9i
87,23,65,31,1,4.9,7.3右,3.9右,9i
88,85,102,33,11,19.7,3.7右,4.5右,9i
89,16,64,34,0,2.6,18.3右,5.6右,9i
90,79,96,32,11,21.7,3.4右,0.0,9i
91,93,103,34,17,26.5,5.0右,6.5右,9i
92,79,89,31,15,28.0,10.5右,19.6右,9i
93,30,52,21,3,20.6,14.4右,9.6右,9i
94,58,81,29,6,19.3,24.4右,30.5右,9i
95,28,48,20,3,21.9,12.3右,7.8右,9i
96,73,86,30,11,23.8,4.4右,10.0右,9i
97,71,79,29,15,32.3,10.2右,19.8右,9i
98,76,92,30,11,23.8,6.5右,14.3右,9i
99,55,89,34,3,10.8,21.2右,26.0右,9i
100,59,97,36,3,9.3,9.1右,15.2右,9i
101,14,25,14,1,20.3,9.9右,2.7右,9i
102,22,47,20,2,15.6,11.4右,5.2右,9i
103,52,63,24,10,31.2,13.7右,16.8右,9i
104,25,45,20,2,18.4,14.3右,7.6右,9i
105,12,39,22,0,6.5,7.6右,2.0右,9i
106,5,32,23,0,2.1,50.6右,3.6右,9i
107,63,72,27,12,30.2,5.7右,10.4右,9i
108,18,52,27,0,4.9,17.3右,5.7右,9i
109,42,62,24,4,20.4,31.0右,24.4右,9i
110,15,23,14,2,22.8,20.4右,5.0右,9i
111,55,92,33,3,10.9,13.6右,17.0右,9i
