No.,キャリー (yds),トータル (yds),ボールスピード (m/s),最高到達点 (yds),打出角 (度),左右打出角 (度),キャリーサイド (yds),Club-type
1,73,94,32,8,19.6,8.9右,20.0右,9i
2,67,83,29,9,24.2,11.0右,19.2右,9i
3,64,91,33,5,15.5,22.7左,32.5左,9i
4,18,36,19,1,13.7,3.9右,2.1右,9i
5,19,58,29,1,5.9,19.6左,7.1左,9i
6,34,68,29,2,9.8,36.4左,22.3左,9i
7,62,89,34,5,15.2,26.1左,36.0左,9i
8,77,90,31,12,24.5,10.0左,15.7左,9i
9,46,59,24,6,23.4,19.1左,19.0左,9i
10,24,32,15,5,39.7,12.4右,6.7右,9i
11,61,89,29,6,17.5,13.4左,18.7左,9i
12,12,25,15,1,15.1,13.8左,3.3左,9i
13,71,95,30,8,18.9,9.2左,13.8左,9i
14,27,64,29,1,7.6,16.0左,9.2左,9i
15,48,79,31,3,12.6,21.2左,22.9左,9i
16,36,77,33,1,5.1,0.1左,1.0左,9i
17,72,100,35,6,14.4,20.5左,35.1左,9i
18,36,52,21,5,25.3,9.4右,3.1右,9i
19,20,60,30,1,6.1,24.8左,9.3左,9i
20,14,49,27,0,5.2,8.2左,2.5左,9i
21,72,97,31,7,19.0,14.9左,25.2左,9i
22,10,41,24,0,4.6,1.2右,0.5右,9i
23,24,41,18,2,20.6,12.7左,4.4左,9i
24,80,101,32,10,21.2,10.2左,22.7左,9i
25,88,111,34,10,19.5,9.4左,21.7左,9i
26,81,105,33,9,19.6,10.8左,25.0左,9i
27,69,89,30,9,22.2,9.8左,20.3左,9i
28,26,69,29,1,6.9,2.2右,1.2右,9i
29,7,44,29,0,2.0,16.0左,2.0左,9i
30,32,77,34,1,4.4,7.8左,3.1左,9i
31,16,27,15,2,20.6,0.9左,1.1左,9i
32,17,34,18,1,14.5,15.6左,3.8左,9i
33,81,95,31,13,25.0,3.9左,7.6左,9i
34,5,38,27,0,1.7,7.8右,0.8右,9i
35,50,87,30,3,13.9,8.3右,10.3右,9i
36,49,67,25,6,24.1,19.2右,21.2右,9i
37,24,63,30,1,5.3,12.4左,6.2左,9i
38,42,52,21,8,34.5,16.7右,11.2右,9i
39,51,70,26,6,23.9,8.6左,13.9左,9i
40,38,61,22,4,20.6,1.9左,2.5左,9i
41,84,107,34,9,19.0,9.9左,25.0左,9i
42,20,63,31,0,4.1,2.7右,0.2右,9i
43,73,99,32,7,18.1,11.5左,21.5左,9i
44,84,94,32,16,28.0,1.2右,1.8左,9i
45,99,114,36,15,22.3,5.0左,18.0左,9i
46,55,83,29,5,17.7,15.5左,20.3左,9i
47,51,70,25,6,23.3,6.8左,10.0左,9i
48,65,96,32,5,14.3,3.9左,9.1左,9i
49,77,99,32,9,19.6,2.7左,7.3左,9i
50,93,113,35,12,20.4,7.1左,20.0左,9i
51,65,101,33,4,13.0,1.3右,1.6左,9i
52,87,94,33,20,31.8,5.1右,9.2右,9i
53,20,58,29,1,6.2,19.1右,5.5右,9i
54,86,111,36,10,19.2,15.6左,38.3左,9i
55,35,82,36,1,3.5,0.7右,0.4右,9i
56,14,50,27,0,5.0,12.8右,3.5右,9i
57,92,101,34,17,27.4,5.2左,21.3左,9i
58,71,109,35,5,12.2,2.5左,8.6左,9i
59,87,102,33,14,23.8,3.2右,10.5右,9i
60,22,41,20,2,16.6,6.6左,4.0左,9i
61,53,75,26,6,20.8,13.3右,15.1右,9i
62,44,77,31,3,13.7,11.0右,13.4右,9i
63,99,115,36,15,21.9,6.5左,23.6左,9i
64,36,56,21,4,22.1,8.1左,5.8左,9i
65,93,100,34,20,29.8,5.4右,14.5右,9i
66,58,80,27,6,20.9,3.9左,6.1左,9i
67,25,70,33,1,6.2,2.6右,2.6右,9i
68,17,34,18,1,15.1,15.3左,3.7左,9i
69,67,103,33,5,14.0,9.0左,14.5左,9i
70,17,40,18,1,14.3,7.8左,1.8左,9i
71,79,93,31,13,25.8,5.1左,18.4左,9i
72,73,89,30,11,24.7,1.2左,7.1左,9i
73,40,50,20,9,36.5,10.9左,9.3左,9i
74,16,52,27,0,5.8,5.8右,1.0右,9i
75,90,108,35,12,21.5,6.4左,23.3左,9i
76,56,69,26,8,24.8,3.8左,6.5左,9i
77,100,119,36,14,20.6,3.8右,14.9右,7i
78,89,105,34,13,22.8,7.9右,26.4右,7i
79,64,72,27,14,34.6,3.8左,7.7左,7i
80,58,75,29,8,25.0,27.2右,35.1右,7i
81,108,117,38,21,25.6,3.5右,23.5右,7i
82,59,63,26,20,45.3,0.1左,2.9左,7i
